#Filename,File Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],User Spectral Type,User [Fe/H]
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A0V+F5.txt,csv,3.5633333332288637,A0,+0.0,A0,+0.0
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A0V+F6.txt,csv,3.6099999998941428,A0,+0.0,A0,+0.0
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A0V+F7.txt,csv,3.5083333332304485,A0,+0.0,A0,+0.0
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A0V+F9.txt,csv,3.6283333332269385,A0,+0.0,A0,+0.0
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A2V+F5.txt,csv,-95.20999999720846,A2,+0.0,A2,+0.0
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A2V+F6.txt,csv,-95.03499999721357,A3,-1.0,A3,-1.0
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A2V+F7.txt,csv,-95.36666666387053,A3,-1.0,A3,-1.0
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A2V+F9.txt,csv,-95.00166666388122,A3,-1.0,A3,-1.0
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A3V+F5.txt,csv,-10.328333333030505,A3,+0.5,A3,+0.5
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A3V+F6.txt,csv,-10.209999999700651,A3,+0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A3V+F7.txt,csv,-10.228333333033438,A3,+0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A3V+F9.txt,csv,-10.021666666372823,A3,+0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A5V+F5.txt,csv,-76.37999999776055,A6,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A5V+F6.txt,csv,-72.76833333119977,A6,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A5V+F7.txt,csv,-76.83999999774706,A6,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A5V+F9.txt,csv,-72.84833333119742,A6,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A7V+F5.txt,csv,-57.25166666498804,A7,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A7V+F6.txt,csv,-57.22166666498892,A7,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A7V+F7.txt,csv,-58.2483333316255,A7,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/A7V+F9.txt,csv,-65.67249999807447,A7,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G0+A0V.txt,csv,3.5383333332295877,A0,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G0+A2V.txt,csv,-95.28333333053963,A3,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G0+A3V.txt,csv,-9.216666666396415,A3,+0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G0+A5V.txt,csv,-72.70333333120169,A6,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G0+A7V.txt,csv,-57.14666666499112,A7,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G0+F5.txt,csv,-3.10249999990903,F7,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G0+F6.txt,csv,-3.354999999901635,F7,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G0+F7.txt,csv,-27.614999999190317,F7,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G0+F9.txt,csv,24.943333332601995,F8,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G1+A0V.txt,csv,3.59666666656121,A0,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G1+A2V.txt,csv,11.388333332999423,A3,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G1+A3V.txt,csv,-9.1299999997323,A3,+0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G1+A5V.txt,csv,-74.21833333115727,A6,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G1+A7V.txt,csv,-57.28499999832041,A7,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G1+F5.txt,csv,-5.0833333331842825,F7,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G1+F6.txt,csv,-0.5474999999839482,G0,-0.5,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G1+F7.txt,csv,0.4974999999854277,G3,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G1+F9.txt,csv,-11.30749999966846,G1,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G3+A0V.txt,csv,3.59666666656121,A0,+0.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G3+A2V.txt,csv,11.289999999668973,A3,-1.0,nan,nan
/Users/benjaminroulston/Desktop/SB2_CompositeSpec/G3+A3V.txt,csv,-9.22166666639628,A3,+0.5,nan,nan
