# wavelength, Lumniosty[W/AA], Error
3.621596000000000004e+03,2.058025051110063158e+22,2.110916345445488368e+23
3.622429999999999836e+03,2.058025050587588775e+22,4.541337602106873348e+21
3.623264200000000073e+03,2.589693424233319760e+22,2.110916340022899554e+23
3.624098599999999806e+03,3.121361949147851758e+22,4.882766064918874554e+21
3.624933100000000195e+03,2.575627206471755550e+22,4.760728800760488264e+21
3.625767899999999827e+03,3.170956262809872944e+22,4.918378691586960654e+21
3.626602899999999863e+03,2.597540983326297083e+22,4.760263267312779395e+21
3.627438000000000102e+03,1.903249021761364374e+22,4.627681107161583190e+21
3.628273400000000038e+03,2.750930691716892171e+22,4.718747746517668856e+21
3.629108900000000176e+03,2.281271770874662984e+22,4.727717167704721850e+21
3.629944599999999809e+03,2.406771204442073281e+22,4.544184241820109636e+21
3.630780499999999847e+03,2.064113809138282974e+22,4.408726459779102802e+21
3.631616700000000037e+03,2.155255843217154349e+22,4.199461754870771483e+21
3.632452999999999975e+03,2.619625370238789144e+22,4.164058563180308201e+21
3.633289499999999862e+03,2.270485312552165389e+22,4.127013440574994252e+21
3.634126200000000154e+03,1.860698638643864430e+22,4.081522755043564454e+21
3.634963000000000193e+03,2.249599042136054327e+22,4.137274536219487764e+21
3.635800099999999929e+03,2.697305821626442029e+22,4.314515181954035352e+21
3.636637400000000071e+03,2.314710460272998351e+22,4.267721964801879966e+21
3.637474900000000162e+03,1.890195102927033047e+22,4.270663129524275249e+21
3.638312500000000000e+03,2.653967593218010146e+22,4.356894326696785740e+21
3.639150399999999991e+03,1.905978821045703515e+22,4.352664643923483296e+21
3.639988400000000183e+03,2.927056273036474424e+22,4.383530263448091886e+21
3.640826599999999871e+03,3.068708724002401131e+22,4.590152052283951022e+21
3.641665100000000166e+03,2.373683566344417575e+22,4.230263710960131768e+21
3.642503700000000208e+03,2.396773246929028619e+22,4.227003645871382331e+21
3.643342500000000200e+03,2.853839247888443087e+22,4.253617465280851083e+21
3.644181500000000142e+03,2.559638291890785642e+22,4.193705415056851206e+21
3.645020700000000033e+03,2.523885287126078377e+22,4.056296870961528439e+21
3.645860099999999875e+03,1.993962701146980509e+22,3.914808472766138286e+21
3.646699700000000121e+03,1.608350372804209672e+22,3.872125316488220901e+21
3.647539499999999862e+03,2.172479848676073249e+22,3.947180643280216916e+21
3.648379399999999805e+03,2.193509064051836479e+22,3.731596848178674008e+21
3.649219599999999900e+03,1.706052103852560849e+22,3.671303872751313355e+21
3.650059999999999945e+03,2.705293788595255824e+22,3.831799951233678574e+21
3.650900500000000193e+03,3.048417802676353368e+22,4.073320461623098343e+21
3.651741300000000138e+03,2.040476845662643054e+22,3.863358447653451989e+21
