# wavelength, Lumniosty[W/AA], Error
3.621596000000000004e+03,1.602091505236917512e+22,1.207172441928917414e+23
3.622429999999999836e+03,1.602091504873800257e+22,1.074337424325659984e+21
3.623264200000000073e+03,1.577949836779774280e+22,1.207172438874316708e+23
3.624098599999999806e+03,1.553808165429053279e+22,1.069608497682706596e+21
3.624933100000000195e+03,1.519759611011855391e+22,1.052173479560215790e+21
3.625767899999999827e+03,1.531176697769319675e+22,1.049513251799708467e+21
3.626602899999999863e+03,1.836221484298708346e+22,1.089837763875388785e+21
3.627438000000000102e+03,2.088118313807155456e+22,1.141698283471695512e+21
3.628273400000000038e+03,1.935645660825890115e+22,1.123813428447812125e+21
3.629108900000000176e+03,1.963056004739896233e+22,1.111745232555573117e+21
3.629944599999999809e+03,1.987124004592246220e+22,1.113227950641450713e+21
3.630780499999999847e+03,1.672679298844973020e+22,1.037570544955829780e+21
3.631616700000000037e+03,1.146807240147342459e+22,9.020936526698976379e+20
3.632452999999999975e+03,8.314124191008114606e+21,8.360707428286065541e+20
3.633289499999999862e+03,1.006864299417924115e+22,8.532359846359614095e+20
3.634126200000000154e+03,1.257838890405071736e+22,9.139067399475559137e+20
3.634963000000000193e+03,1.141616185089091594e+22,8.813503119564077793e+20
3.635800099999999929e+03,1.213579562308719975e+22,9.050750878740556022e+20
3.636637400000000071e+03,1.407728279151504156e+22,9.474676721962987028e+20
3.637474900000000162e+03,1.487522523935491595e+22,9.630441070534946980e+20
3.638312500000000000e+03,1.499026682562314292e+22,9.639149930084344791e+20
3.639150399999999991e+03,1.554507028068969113e+22,9.700586254967642522e+20
3.639988400000000183e+03,1.808871967284291174e+22,1.010481363621927977e+21
3.640826599999999871e+03,1.837246605207729393e+22,1.019361163478645211e+21
3.641665100000000166e+03,1.603452747755415405e+22,9.586119852152246764e+20
3.642503700000000208e+03,1.443619525218327016e+22,9.340726926372098540e+20
3.643342500000000200e+03,1.596055957956190011e+22,9.498605697927109673e+20
3.644181500000000142e+03,1.598133756784616774e+22,9.366822610234972570e+20
3.645020700000000033e+03,1.399357144665872663e+22,9.032004863511474995e+20
3.645860099999999875e+03,1.267774101919050498e+22,8.656671924959490867e+20
3.646699700000000121e+03,1.290397110570963698e+22,8.799231952112755671e+20
3.647539499999999862e+03,1.285633186151925180e+22,8.500589079295783076e+20
3.648379399999999805e+03,1.046798981761600795e+22,8.075464289706274980e+20
3.649219599999999900e+03,9.322816705796495114e+21,7.900876080463889039e+20
3.650059999999999945e+03,1.044590750563004370e+22,8.225981129077331067e+20
3.650900500000000193e+03,1.346958202503738425e+22,8.825215422879916360e+20
3.651741300000000138e+03,1.583236057274922303e+22,9.249688634843875246e+20
3.652582199999999830e+03,1.556188259637250543e+22,9.095334010552863949e+20
3.653423299999999927e+03,1.608603249177285309e+22,9.254467134974476943e+20
3.654264700000000175e+03,1.768578929161863902e+22,9.429180001656694374e+20
3.655106200000000172e+03,1.789321345300445528e+22,9.472708658916668211e+20
3.655947900000000118e+03,1.793187747834152721e+22,9.564341007157130691e+20
3.656789800000000014e+03,1.893800218158561021e+22,9.903016085310674043e+20
3.657631899999999860e+03,2.022411166361492180e+22,1.006617624370566136e+21
3.658474200000000110e+03,2.207869900244205437e+22,1.048999221041383866e+21
3.659316699999999855e+03,2.147716237569708314e+22,1.034644607284196016e+21
3.660159400000000005e+03,2.013899927145249400e+22,1.002901347411262964e+21
3.661002300000000105e+03,1.942301620515234225e+22,9.715001257988830003e+20
3.661845400000000154e+03,1.923010895271548053e+22,9.504806281554102845e+20
3.662688599999999951e+03,1.861512784897957167e+22,9.382204656983396844e+20
3.663532099999999900e+03,1.707544977700618555e+22,9.071457375793159864e+20
3.664375700000000052e+03,1.727368427314917409e+22,9.049795390794672374e+20
3.665219599999999900e+03,1.705979266290074360e+22,9.102092447612142879e+20
3.666063599999999951e+03,1.715498281044551506e+22,9.253329672185720340e+20
3.666907900000000154e+03,1.918462045365251500e+22,9.452431453214301225e+20
3.667752300000000105e+03,2.026835684350876031e+22,9.663716121178631045e+20
3.668596900000000005e+03,1.726753008214121382e+22,9.099251250525780050e+20
3.669441800000000057e+03,1.643680197898219710e+22,8.852508801202406031e+20
3.670286799999999857e+03,1.665945591227366769e+22,8.817105268176863887e+20
3.671132000000000062e+03,1.678789615573615929e+22,8.821225660096122716e+20
3.671977400000000216e+03,1.766675953397752293e+22,8.956457384514403697e+20
3.672822999999999865e+03,1.840513222118245348e+22,9.079079334887633715e+20
3.673668799999999919e+03,1.898786546299437895e+22,9.141806926089799598e+20
3.674514799999999923e+03,1.819596371199811125e+22,8.914112255038407311e+20
3.675360999999999876e+03,1.749529890533201989e+22,8.721209826735388099e+20
3.676207399999999780e+03,1.793711220971917856e+22,8.694569027851911168e+20
3.677053899999999885e+03,1.852276728388452457e+22,8.611592653020397568e+20
3.677900700000000143e+03,1.793069116031327273e+22,8.360389186146324972e+20
3.678747699999999895e+03,1.556923574291327353e+22,7.871251749610335764e+20
3.679594799999999850e+03,1.413338249363761555e+22,7.539681257838498284e+20
3.680442199999999957e+03,1.378903651034106692e+22,7.415970127176564736e+20
3.681289699999999812e+03,1.382913097276750561e+22,7.436311858314220667e+20
3.682137499999999818e+03,1.477005536322312890e+22,7.633594114831400305e+20
3.682985400000000027e+03,1.646143000458269452e+22,7.986316359005930783e+20
3.683833599999999933e+03,1.593212602219600911e+22,7.817162612882406113e+20
3.684681900000000041e+03,1.596786498177766680e+22,7.955791185122384937e+20
3.685530400000000100e+03,1.619259122377609445e+22,7.772676291043481354e+20
3.686379100000000108e+03,1.517755037999211689e+22,7.691838829055862374e+20
3.687228099999999813e+03,1.477455900273704278e+22,7.435181162239460639e+20
3.688077200000000175e+03,1.318434819911036436e+22,7.087326566808308941e+20
3.688926500000000033e+03,1.243670652424221517e+22,6.917375149653971436e+20
3.689775999999999840e+03,1.376436913514533093e+22,7.185374876415261409e+20
3.690625700000000052e+03,1.640925100857559194e+22,7.667175251611130266e+20
3.691475600000000213e+03,1.881918446108650819e+22,8.128666799260435743e+20
3.692325699999999870e+03,2.031235872014215833e+22,8.321321653720851415e+20
3.693175999999999931e+03,1.866234762437533368e+22,8.070042245481938289e+20
3.694026400000000194e+03,1.678732902666856720e+22,7.724520826380666798e+20
3.694877100000000155e+03,1.584041592885457453e+22,7.460421536077613629e+20
3.695728000000000065e+03,1.662636965166267656e+22,7.503593191923213926e+20
3.696579099999999926e+03,1.915304083442986333e+22,7.914725084605927916e+20
3.697430299999999988e+03,1.928693558604742210e+22,7.840410760413793485e+20
3.698281800000000203e+03,1.762866106092834574e+22,7.777989892495482552e+20
3.699133499999999913e+03,1.942069695511124771e+22,7.911760562304658964e+20
3.699985299999999825e+03,2.078468719591940109e+22,8.019125543552834601e+20
3.700837399999999889e+03,1.881125632269064392e+22,7.923746928195224207e+20
3.701689600000000155e+03,1.826616861122012958e+22,7.710452926685155164e+20
3.702542100000000119e+03,1.976966345095711503e+22,7.899705129618917294e+20
3.703394699999999830e+03,1.758636463998828020e+22,7.572701073423256781e+20
3.704247499999999945e+03,1.588707058046202387e+22,7.227334393827625533e+20
3.705100600000000213e+03,1.421850001859598615e+22,6.835301729729012040e+20
3.705953799999999774e+03,1.137366910510325301e+22,6.352843462322708808e+20
3.706807200000000194e+03,1.168887428512602495e+22,6.313043265374039572e+20
3.707660800000000108e+03,1.189267792512195074e+22,6.262600233009448223e+20
3.708514700000000175e+03,1.218774398548292141e+22,6.352246474848811090e+20
3.709368699999999990e+03,1.199960958855343715e+22,6.219957994469516902e+20
3.710222900000000209e+03,1.211150849993405891e+22,6.310950794896985293e+20
3.711077299999999923e+03,1.371245651498555251e+22,6.549795421938530386e+20
3.711931900000000041e+03,1.579012507476228152e+22,6.880869856475546911e+20
3.712786700000000110e+03,1.852323868214675531e+22,7.310841048315541586e+20
3.713641700000000128e+03,2.033157664348717240e+22,7.507965114135809884e+20
3.714496900000000096e+03,2.058911828678602129e+22,7.628557380139421532e+20
3.715352300000000014e+03,1.950659409068690296e+22,7.341213588278020669e+20
3.716207899999999881e+03,1.827922284434086796e+22,7.216770902402958623e+20
3.717063700000000154e+03,1.886767550149866763e+22,7.213073028584363786e+20
3.717919699999999921e+03,1.747677914345487571e+22,7.065563091639660708e+20
3.718775799999999890e+03,1.557291083533457660e+22,6.703689714233378079e+20
3.719632200000000012e+03,1.318862826813898359e+22,6.216014986643034604e+20
3.720488800000000083e+03,9.967060392709688656e+21,5.509722155325396746e+20
3.721345600000000104e+03,7.232297688234062774e+21,5.031083106067869860e+20
3.722202499999999873e+03,7.114749482329346933e+21,5.069703972312091853e+20
3.723059699999999793e+03,8.502420801901189661e+21,5.299406378039009608e+20
3.723917100000000119e+03,1.108519251408684738e+22,5.872890814352446587e+20
3.724774600000000191e+03,1.335124253424623183e+22,6.283522645907218104e+20
3.725632399999999961e+03,1.466953187866843703e+22,6.552407038332605563e+20
3.726490299999999934e+03,1.652661355646088852e+22,6.800762897464136827e+20
3.727348500000000058e+03,1.649371308317427211e+22,6.669542673565404365e+20
3.728206799999999930e+03,1.420984010597266253e+22,6.351206467409478943e+20
3.729065399999999954e+03,1.334040032926212764e+22,6.238712651700878705e+20
3.729924100000000180e+03,1.468523716608603351e+22,6.286130865236641055e+20
3.730783100000000104e+03,1.647785698128631431e+22,6.660223787869093233e+20
3.731642199999999775e+03,1.763966914084099588e+22,6.608024544796926280e+20
3.732501600000000053e+03,1.427087876399034689e+22,6.146413729601616609e+20
3.733361100000000079e+03,1.162147762776014271e+22,5.575452288823602053e+20
3.734220899999999801e+03,8.679942364952218567e+21,4.954298603491828695e+20
3.735080800000000181e+03,5.998408109404218982e+21,4.429644028048871260e+20
3.735940900000000056e+03,6.374890735022066631e+21,4.387283423032735826e+20
3.736801300000000083e+03,6.522414105882482704e+21,4.428046610345592095e+20
3.737661799999999857e+03,6.394312438862178157e+21,4.408054712173262930e+20
3.738522500000000036e+03,7.576556564792642372e+21,4.757551358859014963e+20
3.739383400000000165e+03,9.896186141276660302e+21,5.166259081644315771e+20
3.740244599999999991e+03,1.247684401442622066e+22,5.672550696283338834e+20
3.741105900000000020e+03,1.467734202605705259e+22,6.053924316871115407e+20
3.741967399999999998e+03,1.557840544789353307e+22,6.222105719039669043e+20
3.742829099999999926e+03,1.486729101790942121e+22,6.131124480142574879e+20
3.743690999999999804e+03,1.268402519064741256e+22,5.727643256347812823e+20
3.744553199999999833e+03,1.111741674814501290e+22,5.481529457239385047e+20
3.745415500000000065e+03,1.076087406056817925e+22,5.315753667383497851e+20
3.746277999999999793e+03,9.248605439852569166e+21,5.059137060837450056e+20
3.747140699999999924e+03,9.041312198391696982e+21,4.973294461561050890e+20
3.748003600000000006e+03,8.980240136375535403e+21,4.965323144300074762e+20
3.748866700000000037e+03,7.970300691139538190e+21,4.632303101094525665e+20
3.749730000000000018e+03,7.386959578422979854e+21,4.586125747720502641e+20
