# wavelength, Lumniosty[W/AA], Error
3.621596000000000004e+03,2.008403345375906234e+21,1.358188728118763166e+22
3.622429999999999836e+03,2.008403344992173818e+21,9.512350640316030976e+19
3.623264200000000073e+03,2.370837108980349665e+21,1.358188724686430614e+22
3.624098599999999806e+03,2.733270865478108578e+21,1.042977143613035315e+20
3.624933100000000195e+03,2.495956067161625592e+21,1.023537821980769649e+20
3.625767899999999827e+03,2.502983937830108004e+21,1.020826203188571341e+20
3.626602899999999863e+03,2.978000538741090288e+21,1.066304278861079675e+20
3.627438000000000102e+03,3.392468450184399946e+21,1.118156791377274962e+20
3.628273400000000038e+03,3.358697580507576664e+21,1.116656578029648937e+20
3.629108900000000176e+03,3.365441998723157590e+21,1.102151495922318541e+20
3.629944599999999809e+03,2.868592724528082715e+21,1.040708928725799240e+20
3.630780499999999847e+03,2.268702975847755153e+21,9.344987977102996275e+19
3.631616700000000037e+03,1.618995355429442945e+21,8.266050326842037043e+19
3.632452999999999975e+03,1.174572166246886015e+21,7.291441455677471949e+19
3.633289499999999862e+03,1.320082459159943184e+21,7.464038516611461939e+19
3.634126200000000154e+03,1.701936344973380157e+21,8.135665877536117555e+19
3.634963000000000193e+03,1.888337926685911155e+21,8.322107762857559654e+19
3.635800099999999929e+03,1.886516436643477979e+21,8.420744135520542720e+19
3.636637400000000071e+03,2.001690676942386233e+21,8.538020903596272845e+19
3.637474900000000162e+03,2.254196789371659878e+21,8.965091701388784435e+19
3.638312500000000000e+03,2.387643477848590647e+21,9.214526369024099942e+19
3.639150399999999991e+03,2.727862803087225782e+21,9.752059477948479898e+19
3.639988400000000183e+03,3.089989262053691884e+21,1.021055079735968399e+20
3.640826599999999871e+03,3.211018225916060369e+21,1.031726405481656320e+20
3.641665100000000166e+03,3.137364451772349809e+21,1.019989699492136059e+20
3.642503700000000208e+03,2.984244650183883227e+21,9.896833935954547507e+19
3.643342500000000200e+03,2.685809459857260020e+21,9.444084754590049894e+19
3.644181500000000142e+03,2.270574375343269872e+21,8.789450849251059302e+19
3.645020700000000033e+03,2.253472913884960784e+21,8.649637388890547814e+19
3.645860099999999875e+03,2.084796018366146413e+21,8.308853683113074688e+19
3.646699700000000121e+03,1.765088538548978844e+21,7.810146508636287795e+19
3.647539499999999862e+03,1.662972173981940449e+21,7.556771042506873242e+19
