# wavelength, Lumniosty[W/AA], Error
3.621596000000000004e+03,-1.786328898640267878e+19,1.019428831929348129e+22
3.622429999999999836e+03,-1.786328898280988262e+19,1.147047899890405048e+20
3.623264200000000073e+03,1.901068260492845056e+20,1.019428829120437839e+22
3.624098599999999806e+03,3.980769331165548380e+20,1.239626760430855782e+20
3.624933100000000195e+03,1.475383052448609403e+20,1.187495080943700705e+20
3.625767899999999827e+03,1.373179846123079270e+20,1.207417461277651108e+20
3.626602899999999863e+03,3.321468267176425554e+20,1.257194452692904509e+20
3.627438000000000102e+03,4.771576255748547543e+20,1.314460723518913249e+20
3.628273400000000038e+03,4.644073583319272653e+20,1.314947101560758764e+20
3.629108900000000176e+03,3.559052614816822067e+20,1.309971912939840307e+20
3.629944599999999809e+03,3.341162245286057738e+20,1.281694043760337388e+20
3.630780499999999847e+03,4.312999444609774387e+20,1.229575373669656003e+20
3.631616700000000037e+03,2.907523382079391662e+20,1.140712079003271496e+20
3.632452999999999975e+03,3.916211785809754522e+19,1.057351734489062769e+20
3.633289499999999862e+03,1.559400004871618232e+20,1.070491579600249324e+20
3.634126200000000154e+03,3.547760132820923843e+20,1.116061136511990170e+20
3.634963000000000193e+03,2.649985043589164237e+20,1.112773138818744484e+20
3.635800099999999929e+03,2.448514722247793705e+20,1.108425785014968156e+20
3.636637400000000071e+03,3.508460989264423158e+20,1.128116974488575508e+20
3.637474900000000162e+03,3.510723876060286157e+20,1.136413341298932449e+20
3.638312500000000000e+03,2.219768785391578972e+20,1.113066542524865577e+20
3.639150399999999991e+03,6.559993555089121608e+20,1.211853654633235251e+20
3.639988400000000183e+03,5.240651821857454162e+20,1.203869370847445484e+20
3.640826599999999871e+03,3.595584911953785651e+20,1.192284299669750907e+20
3.641665100000000166e+03,3.955149975213261455e+20,1.177000604476232499e+20
3.642503700000000208e+03,4.157898370837619016e+20,1.170066692039324467e+20
3.643342500000000200e+03,3.739642707211852841e+20,1.107029583411386614e+20
3.644181500000000142e+03,5.473112972007568179e+20,1.116612784516907336e+20
3.645020700000000033e+03,3.413496809496856494e+20,1.038115153913940705e+20
3.645860099999999875e+03,2.666697544977109811e+20,9.980361643607774003e+19
3.646699700000000121e+03,2.730850359847288504e+20,9.863961482762071245e+19
3.647539499999999862e+03,8.329761958712167629e+19,9.415122851993790054e+19
3.648379399999999805e+03,2.799965206469480940e+20,9.737180212123772518e+19
3.649219599999999900e+03,7.452519829171145933e+19,9.441262844253056205e+19
3.650059999999999945e+03,2.048327778721445970e+20,9.939173761527208346e+19
