# wavelength, Lumniosty[W/AA], Error
3.621596000000000004e+03,4.034278008922033357e+20,2.703677090708074267e+21
3.622429999999999836e+03,4.034278009512951808e+20,3.652659767062441574e+19
3.623264200000000073e+03,3.182731659479869030e+20,2.703677083774349214e+21
3.624098599999999806e+03,2.331185513274942423e+20,3.251735797144150835e+19
3.624933100000000195e+03,3.417355898237129196e+20,3.317929401235018547e+19
3.625767899999999827e+03,3.378026412005027348e+20,3.381576683383401677e+19
3.626602899999999863e+03,2.828959205872801874e+20,3.346221928516077978e+19
3.627438000000000102e+03,2.958041151909418762e+20,3.367441872197401805e+19
3.628273400000000038e+03,3.665406531933342925e+20,3.464339575402448896e+19
3.629108900000000176e+03,3.591220550036401029e+20,3.388863643634391859e+19
3.629944599999999809e+03,2.717102652751229420e+20,3.236466512464130048e+19
3.630780499999999847e+03,2.359469552345563136e+20,3.031196901051991654e+19
3.631616700000000037e+03,2.121723323113917972e+20,2.894974053842191155e+19
3.632452999999999975e+03,1.772390774498665431e+20,2.724819095525805670e+19
3.633289499999999862e+03,1.751463635639274045e+20,2.701682634703345664e+19
3.634126200000000154e+03,1.922544413840113664e+20,2.731830934765006029e+19
3.634963000000000193e+03,1.813644207382578463e+20,2.699890409063310541e+19
3.635800099999999929e+03,1.796964285522738217e+20,2.715221359667161088e+19
3.636637400000000071e+03,1.980092825311646188e+20,2.752192745419160781e+19
3.637474900000000162e+03,2.403101665388811059e+20,2.903062654810346701e+19
3.638312500000000000e+03,3.049308081699963535e+20,3.053412825313932902e+19
3.639150399999999991e+03,3.310711417697933066e+20,3.099181613928350106e+19
3.639988400000000183e+03,3.518534166207782584e+20,3.125957082720373146e+19
3.640826599999999871e+03,3.793603180662325903e+20,3.183808577975122330e+19
3.641665100000000166e+03,3.800757178357779005e+20,3.171199622392514970e+19
3.642503700000000208e+03,3.393660075074186117e+20,3.052993804783231795e+19
3.643342500000000200e+03,2.921477025561005916e+20,2.953603211885788774e+19
3.644181500000000142e+03,2.290534063684807885e+20,2.786254383871933645e+19
3.645020700000000033e+03,2.618689680692348518e+20,2.796147906649748275e+19
3.645860099999999875e+03,2.835306768902076170e+20,2.824102718587583693e+19
3.646699700000000121e+03,2.443301422653474734e+20,2.715685971345542758e+19
3.647539499999999862e+03,1.988204007112191836e+20,2.615043771561623962e+19
3.648379399999999805e+03,2.020962780351188500e+20,2.605660832861845504e+19
3.649219599999999900e+03,2.192778508588521226e+20,2.642034017629413376e+19
3.650059999999999945e+03,2.332597894555158118e+20,2.666955770864040755e+19
3.650900500000000193e+03,2.283249428189018194e+20,2.701397241584644506e+19
3.651741300000000138e+03,2.399920277485154796e+20,2.726071710775349658e+19
3.652582199999999830e+03,2.988699580806148915e+20,2.829030925026136474e+19
3.653423299999999927e+03,3.133136516099844997e+20,2.885066674316113510e+19
3.654264700000000175e+03,2.690458118975344148e+20,2.777970564091867546e+19
3.655106200000000172e+03,2.977573234397402890e+20,2.816690437065823027e+19
3.655947900000000118e+03,3.377443899022740029e+20,2.893795743095791616e+19
3.656789800000000014e+03,3.516126532621590856e+20,2.924818927245968589e+19
3.657631899999999860e+03,3.804068804736747438e+20,2.923704006409174221e+19
3.658474200000000110e+03,3.101622435932443771e+20,2.816150273794468659e+19
3.659316699999999855e+03,3.547903795809747599e+20,2.860013368069509120e+19
3.660159400000000005e+03,3.745567594679073505e+20,2.869632016572830106e+19
3.661002300000000105e+03,3.992306568613737267e+20,2.946795567432448819e+19
3.661845400000000154e+03,4.444548663905908818e+20,2.971461028911815885e+19
3.662688599999999951e+03,3.762152228829937009e+20,2.892495952290347827e+19
3.663532099999999900e+03,3.794942274424182538e+20,2.818256583585005568e+19
3.664375700000000052e+03,3.588930933037242778e+20,2.759517655353952666e+19
3.665219599999999900e+03,3.779271064686001521e+20,2.775175018162622464e+19
3.666063599999999951e+03,3.757263081851608105e+20,2.692802754158438400e+19
3.666907900000000154e+03,3.244355665436810936e+20,2.677575138715646362e+19
3.667752300000000105e+03,3.958006160884965048e+20,2.680412235580903014e+19
3.668596900000000005e+03,3.150886582824076575e+20,2.595172717395034522e+19
3.669441800000000057e+03,3.112970054464414679e+20,2.526606693148805530e+19
3.670286799999999857e+03,3.358469547938324808e+20,2.568030071655435878e+19
3.671132000000000062e+03,3.459619803918791475e+20,2.624323644314614579e+19
3.671977400000000216e+03,3.679341362504027996e+20,2.642067274978326528e+19
3.672822999999999865e+03,3.297176847346033623e+20,2.597699057918119117e+19
3.673668799999999919e+03,2.824603094323582075e+20,2.518055018460020326e+19
3.674514799999999923e+03,3.295961455917935493e+20,2.545207671772066202e+19
3.675360999999999876e+03,3.187050466607225897e+20,2.503461473036254413e+19
3.676207399999999780e+03,2.836568113648865444e+20,2.515427545246767104e+19
