# wavelength, Lumniosty[W/AA], Error
3.621596000000000004e+03,1.238467734943378637e+20,3.440376461096157446e+21
3.622429999999999836e+03,1.238467734642215322e+20,5.328822036588699648e+19
3.623264200000000073e+03,7.806898169335816192e+19,3.440376451156943045e+21
3.624098599999999806e+03,3.229118680711391642e+19,4.557651966202023936e+19
3.624933100000000195e+03,5.985575369653028454e+19,4.720269827876271718e+19
3.625767899999999827e+03,1.600279489759948390e+19,4.890269217177415680e+19
3.626602899999999863e+03,8.133537950901655962e+19,4.950063995150943846e+19
3.627438000000000102e+03,1.751258589395600998e+20,5.453913376327865958e+19
3.628273400000000038e+03,1.370915486688516833e+20,6.466772636262747341e+19
3.629108900000000176e+03,2.117832221017120768e+20,5.859086292505578701e+19
3.629944599999999809e+03,7.187629822229243494e+19,4.923284300261773312e+19
3.630780499999999847e+03,7.844239088537575424e+19,4.703651749258871603e+19
3.631616700000000037e+03,8.475017864633126093e+19,4.820348741649965056e+19
3.632452999999999975e+03,1.244781516787691315e+19,4.111823123382463693e+19
3.633289499999999862e+03,3.805257648750533018e+19,4.150146226993473126e+19
3.634126200000000154e+03,8.540179146778117734e+19,4.690616754035674317e+19
3.634963000000000193e+03,1.580422640065387233e+20,4.878406049800231322e+19
3.635800099999999929e+03,4.535457837739759206e+19,4.183649884931792896e+19
3.636637400000000071e+03,1.391778094236175360e+18,4.144662338345857024e+19
3.637474900000000162e+03,1.251651040946014454e+20,4.860438344193110016e+19
3.638312500000000000e+03,7.295227287375672115e+19,4.440061176713105408e+19
3.639150399999999991e+03,6.167603595058890342e+19,4.254707442154630349e+19
3.639988400000000183e+03,5.344621543299423437e+19,4.365325829060334387e+19
3.640826599999999871e+03,1.417659716614902743e+20,5.468287610840901222e+19
3.641665100000000166e+03,1.699518536451910533e+20,5.448141969452380160e+19
3.642503700000000208e+03,6.436876580248909414e+19,4.625306214513934336e+19
3.643342500000000200e+03,1.496327157822795940e+20,4.886784432152617779e+19
3.644181500000000142e+03,9.141644177162964173e+19,4.642839746044482355e+19
3.645020700000000033e+03,5.416976498926329856e+19,4.210534968978365645e+19
3.645860099999999875e+03,1.193330196350649795e+20,4.412884051694687846e+19
3.646699700000000121e+03,1.413214031306169713e+20,4.519143849437342106e+19
3.647539499999999862e+03,1.212560393382991462e+19,4.107576156474796442e+19
3.648379399999999805e+03,2.136514244927487590e+19,4.031129843568353280e+19
3.649219599999999900e+03,-1.954908145840277914e+19,3.872077868374926131e+19
3.650059999999999945e+03,8.946338060196270899e+19,4.505539358257124966e+19
3.650900500000000193e+03,1.315374734260766638e+20,4.439022745210393395e+19
3.651741300000000138e+03,3.930204582126340506e+19,4.696942269705687859e+19
3.652582199999999830e+03,7.557629098668882330e+19,4.515393006076633088e+19
3.653423299999999927e+03,7.762516470511368602e+19,4.305700023865288294e+19
3.654264700000000175e+03,2.445294706483632538e+19,4.679307388433027072e+19
3.655106200000000172e+03,1.297655580294766756e+20,4.760645501900874547e+19
3.655947900000000118e+03,1.726108564621503365e+20,5.018370220757248410e+19
3.656789800000000014e+03,7.070679422153278259e+19,5.341267706992619520e+19
3.657631899999999860e+03,2.089634399240667136e+20,5.060061981633526170e+19
3.658474200000000110e+03,6.458828068269553254e+19,4.534881366663730790e+19
3.659316699999999855e+03,9.855905087417003213e+19,4.054410707332327834e+19
3.660159400000000005e+03,1.787283130073515295e+20,4.966582734074368819e+19
3.661002300000000105e+03,1.430325396681668362e+20,4.447776490061204685e+19
3.661845400000000154e+03,8.078812308679114752e+19,4.339656955479332454e+19
3.662688599999999951e+03,1.855787667288996577e+20,4.524288884400382771e+19
3.663532099999999900e+03,2.037613490270769316e+20,4.655227915158707405e+19
3.664375700000000052e+03,1.062432800217510543e+20,4.581806046798094336e+19
3.665219599999999900e+03,1.158702844435296584e+20,4.328878482478922138e+19
3.666063599999999951e+03,1.845338507766204662e+20,4.580273143651953869e+19
3.666907900000000154e+03,9.570425714810016563e+19,4.315249387638014771e+19
3.667752300000000105e+03,1.441241925470266982e+20,4.079181178619940864e+19
3.668596900000000005e+03,1.037852164133922734e+20,4.006995232973129318e+19
