# wavelength, Lum[W/AA], LumErr[W/AA]
3500.0000, nan, nan
3500.1087, nan, nan
3500.2175, nan, nan
3500.3262, nan, nan
3500.4349, nan, nan
3500.5437, nan, nan
3500.6524, nan, nan
3500.7611, nan, nan
3500.8699, nan, nan
3500.9786, nan, nan
3501.0873, nan, nan
3501.1961, nan, nan
3501.3048, nan, nan
3501.4135, nan, nan
3501.5223, nan, nan
3501.6310, nan, nan
3501.7397, nan, nan
3501.8485, nan, nan
3501.9572, nan, nan
3502.0659, nan, nan
3502.1747, nan, nan
3502.2834, nan, nan
3502.3921, nan, nan
3502.5009, nan, nan
3502.6096, nan, nan
3502.7183, nan, nan
3502.8271, nan, nan
3502.9358, nan, nan
3503.0445, nan, nan
3503.1532, nan, nan
3503.2620, nan, nan
3503.3707, nan, nan
3503.4794, nan, nan
3503.5882, nan, nan
3503.6969, nan, nan
3503.8056, nan, nan
3503.9144, nan, nan
3504.0231, nan, nan
3504.1318, nan, nan
3504.2406, nan, nan
3504.3493, nan, nan
3504.4580, nan, nan
3504.5668, nan, nan
3504.6755, nan, nan
3504.7842, nan, nan
3504.8930, nan, nan
3505.0017, nan, nan
3505.1104, nan, nan
3505.2192, nan, nan
3505.3279, nan, nan
3505.4366, nan, nan
3505.5454, nan, nan
3505.6541, nan, nan
3505.7628, nan, nan
3505.8716, nan, nan
3505.9803, nan, nan
3506.0890, nan, nan
3506.1978, nan, nan
3506.3065, nan, nan
3506.4152, nan, nan
3506.5240, nan, nan
3506.6327, nan, nan
3506.7414, nan, nan
3506.8502, nan, nan
3506.9589, nan, nan
3507.0676, nan, nan
3507.1764, nan, nan
3507.2851, nan, nan
3507.3938, nan, nan
3507.5026, nan, nan
3507.6113, nan, nan
3507.7200, nan, nan
3507.8288, nan, nan
3507.9375, nan, nan
3508.0462, nan, nan
3508.1550, nan, nan
3508.2637, nan, nan
3508.3724, nan, nan
3508.4812, nan, nan
3508.5899, nan, nan
3508.6986, nan, nan
3508.8073, nan, nan
3508.9161, nan, nan
3509.0248, nan, nan
3509.1335, nan, nan
3509.2423, nan, nan
3509.3510, nan, nan
3509.4597, nan, nan
3509.5685, nan, nan
3509.6772, nan, nan
3509.7859, nan, nan
3509.8947, nan, nan
3510.0034, nan, nan
3510.1121, nan, nan
3510.2209, nan, nan
3510.3296, nan, nan
3510.4383, nan, nan
3510.5471, nan, nan
3510.6558, nan, nan
3510.7645, nan, nan
3510.8733, nan, nan
3510.9820, nan, nan
3511.0907, nan, nan
3511.1995, nan, nan
3511.3082, nan, nan
3511.4169, nan, nan
3511.5257, nan, nan
3511.6344, nan, nan
3511.7431, nan, nan
3511.8519, nan, nan
3511.9606, nan, nan
3512.0693, nan, nan
3512.1781, nan, nan
3512.2868, nan, nan
3512.3955, nan, nan
3512.5043, nan, nan
3512.6130, nan, nan
3512.7217, nan, nan
3512.8305, nan, nan
3512.9392, nan, nan
3513.0479, nan, nan
3513.1567, nan, nan
3513.2654, nan, nan
3513.3741, nan, nan
3513.4829, nan, nan
3513.5916, nan, nan
3513.7003, nan, nan
3513.8091, nan, nan
3513.9178, nan, nan
3514.0265, nan, nan
3514.1353, nan, nan
3514.2440, nan, nan
3514.3527, nan, nan
3514.4614, nan, nan
3514.5702, nan, nan
3514.6789, nan, nan
3514.7876, nan, nan
3514.8964, nan, nan
3515.0051, nan, nan
3515.1138, nan, nan
3515.2226, nan, nan
3515.3313, nan, nan
3515.4400, nan, nan
3515.5488, nan, nan
3515.6575, nan, nan
3515.7662, nan, nan
3515.8750, nan, nan
3515.9837, nan, nan
3516.0924, nan, nan
3516.2012, nan, nan
3516.3099, nan, nan
3516.4186, nan, nan
3516.5274, nan, nan
3516.6361, nan, nan
3516.7448, nan, nan
3516.8536, nan, nan
3516.9623, nan, nan
3517.0710, nan, nan
3517.1798, nan, nan
3517.2885, nan, nan
3517.3972, nan, nan
3517.5060, nan, nan
3517.6147, nan, nan
3517.7234, nan, nan
3517.8322, nan, nan
3517.9409, nan, nan
3518.0496, nan, nan
3518.1584, nan, nan
3518.2671, nan, nan
3518.3758, nan, nan
3518.4846, nan, nan
3518.5933, nan, nan
3518.7020, nan, nan
3518.8108, nan, nan
3518.9195, nan, nan
3519.0282, nan, nan
3519.1370, nan, nan
3519.2457, nan, nan
3519.3544, nan, nan
3519.4632, nan, nan
3519.5719, nan, nan
3519.6806, nan, nan
3519.7894, nan, nan
3519.8981, nan, nan
3520.0068, nan, nan
3520.1155, nan, nan
3520.2243, nan, nan
3520.3330, nan, nan
3520.4417, nan, nan
3520.5505, nan, nan
3520.6592, nan, nan
3520.7679, nan, nan
3520.8767, nan, nan
3520.9854, nan, nan
3521.0941, nan, nan
3521.2029, nan, nan
3521.3116, nan, nan
3521.4203, nan, nan
3521.5291, nan, nan
3521.6378, nan, nan
3521.7465, nan, nan
3521.8553, nan, nan
3521.9640, nan, nan
3522.0727, nan, nan
3522.1815, nan, nan
3522.2902, nan, nan
3522.3989, nan, nan
3522.5077, nan, nan
3522.6164, nan, nan
3522.7251, nan, nan
3522.8339, nan, nan
3522.9426, nan, nan
3523.0513, nan, nan
3523.1601, nan, nan
3523.2688, nan, nan
3523.3775, nan, nan
3523.4863, nan, nan
3523.5950, nan, nan
3523.7037, nan, nan
3523.8125, nan, nan
3523.9212, nan, nan
3524.0299, nan, nan
3524.1387, nan, nan
3524.2474, nan, nan
3524.3561, nan, nan
3524.4649, nan, nan
3524.5736, nan, nan
3524.6823, nan, nan
3524.7911, nan, nan
3524.8998, nan, nan
3525.0085, nan, nan
3525.1173, nan, nan
3525.2260, nan, nan
3525.3347, nan, nan
3525.4435, nan, nan
3525.5522, nan, nan
3525.6609, nan, nan
3525.7696, nan, nan
3525.8784, nan, nan
3525.9871, nan, nan
3526.0958, nan, nan
3526.2046, nan, nan
3526.3133, nan, nan
3526.4220, nan, nan
3526.5308, nan, nan
3526.6395, nan, nan
3526.7482, nan, nan
3526.8570, nan, nan
3526.9657, nan, nan
3527.0744, nan, nan
3527.1832, nan, nan
3527.2919, nan, nan
3527.4006, nan, nan
3527.5094, nan, nan
3527.6181, nan, nan
3527.7268, nan, nan
3527.8356, nan, nan
3527.9443, nan, nan
3528.0530, nan, nan
3528.1618, nan, nan
3528.2705, nan, nan
3528.3792, nan, nan
3528.4880, nan, nan
3528.5967, nan, nan
3528.7054, nan, nan
3528.8142, nan, nan
3528.9229, nan, nan
3529.0316, nan, nan
3529.1404, nan, nan
3529.2491, nan, nan
3529.3578, nan, nan
3529.4666, nan, nan
3529.5753, nan, nan
3529.6840, nan, nan
3529.7928, nan, nan
3529.9015, nan, nan
3530.0102, nan, nan
3530.1190, nan, nan
3530.2277, nan, nan
3530.3364, nan, nan
3530.4452, nan, nan
3530.5539, nan, nan
3530.6626, nan, nan
3530.7714, nan, nan
3530.8801, nan, nan
3530.9888, nan, nan
3531.0976, nan, nan
3531.2063, nan, nan
3531.3150, nan, nan
3531.4237, nan, nan
3531.5325, nan, nan
3531.6412, nan, nan
3531.7499, nan, nan
3531.8587, nan, nan
3531.9674, nan, nan
3532.0761, nan, nan
3532.1849, nan, nan
3532.2936, nan, nan
3532.4023, nan, nan
3532.5111, nan, nan
3532.6198, nan, nan
