# wavelength, flux, err
3621.5960, 1.952312691e+25, 1.171419610e+26
3622.4300, 1.952762279e+25, 1.452855235e+24
3623.2642, 2.061035764e+25, 1.171959193e+26
3624.0986, 2.169359013e+25, 1.518057195e+24
3624.9331, 2.171873479e+25, 1.529997750e+24
3625.7679, 2.594483620e+25, 1.588594870e+24
3626.6029, 3.020310591e+25, 1.645081493e+24
3627.4380, 3.322763884e+25, 1.679725198e+24
3628.2734, 3.496565001e+25, 1.680477216e+24
3629.1089, 3.139072718e+25, 1.636437469e+24
3629.9446, 2.671973712e+25, 1.528010368e+24
3630.7805, 2.021269997e+25, 1.402480500e+24
3631.6167, 1.411468800e+25, 1.273200599e+24
3632.4530, 1.172765276e+25, 1.259853905e+24
3633.2895, 1.351502185e+25, 1.297921750e+24
3634.1262, 1.477669480e+25, 1.334176532e+24
3634.9630, 1.815537173e+25, 1.388583085e+24
3635.8001, 1.941679266e+25, 1.399395923e+24
3636.6374, 2.133692989e+25, 1.444972423e+24
3637.4749, 2.549830647e+25, 1.484788751e+24
3638.3125, 2.862541292e+25, 1.525711318e+24
3639.1504, 3.136207401e+25, 1.561396852e+24
3639.9884, 2.914375497e+25, 1.545621804e+24
3640.8266, 2.988522816e+25, 1.537411210e+24
3641.6651, 3.023930419e+25, 1.511813174e+24
3642.5037, 2.635220301e+25, 1.455512216e+24
3643.3425, 2.498848172e+25, 1.405174699e+24
3644.1815, 2.489076218e+25, 1.366364592e+24
3645.0207, 1.875853800e+25, 1.281798154e+24
3645.8601, 1.560677118e+25, 1.257442044e+24
3646.6997, 1.694494679e+25, 1.234878775e+24
3647.5395, 1.683336904e+25, 1.213054971e+24
3648.3794, 1.407084319e+25, 1.186847419e+24
3649.2196, 1.234462681e+25, 1.187994714e+24
3650.0600, 1.604095257e+25, 1.261717695e+24
3650.9005, 1.955411871e+25, 1.305607421e+24
3651.7413, 2.210150467e+25, 1.346544109e+24
3652.5822, 2.725741924e+25, 1.395626742e+24
3653.4233, 3.065324651e+25, 1.428288794e+24
3654.2647, 3.216031568e+25, 1.440177794e+24
3655.1062, 3.201042000e+25, 1.443376906e+24
3655.9479, 3.174965516e+25, 1.431984982e+24
3656.7898, 3.277419550e+25, 1.442590899e+24
3657.6319, 3.558467949e+25, 1.468878512e+24
3658.4742, 3.969633552e+25, 1.496941049e+24
3659.3167, 4.002570937e+25, 1.508626259e+24
3660.1594, 4.067803912e+25, 1.486997880e+24
3661.0023, 4.089521957e+25, 1.479549475e+24
3661.8454, 3.939551487e+25, 1.438026948e+24
3662.6886, 3.880705902e+25, 1.427592764e+24
3663.5321, 3.688510481e+25, 1.386598502e+24
3664.3757, 3.226602290e+25, 1.347619028e+24
3665.2196, 3.257742563e+25, 1.349964594e+24
3666.0636, 3.475317589e+25, 1.360409070e+24
3666.9079, 3.389210042e+25, 1.382237567e+24
3667.7523, 3.583946129e+25, 1.378491088e+24
3668.5969, 3.193182194e+25, 1.339432564e+24
3669.4418, 3.035896181e+25, 1.297239113e+24
3670.2868, 2.883261571e+25, 1.275483474e+24
3671.1320, 2.855977357e+25, 1.287842716e+24
3671.9774, 3.314995563e+25, 1.345938179e+24
3672.8230, 3.561763789e+25, 1.368057839e+24
3673.6688, 3.577010987e+25, 1.365677955e+24
3674.5148, 3.582603711e+25, 1.367192361e+24
3675.3610, 3.780331367e+25, 1.383312913e+24
3676.2074, 3.870740455e+25, 1.387449681e+24
3677.0539, 3.460633270e+25, 1.324537084e+24
3677.9007, 3.295281282e+25, 1.277505100e+24
3678.7477, 2.894084035e+25, 1.231563142e+24
3679.5948, 2.451664963e+25, 1.188249174e+24
3680.4422, 2.151391943e+25, 1.159661364e+24
3681.2897, 2.047003042e+25, 1.162089875e+24
3682.1375, 2.204298598e+25, 1.184494656e+24
3682.9854, 2.720171237e+25, 1.228363256e+24
3683.8336, 2.621082108e+25, 1.230800446e+24
3684.6819, 2.781196462e+25, 1.226853479e+24
3685.5304, 3.004471772e+25, 1.217864586e+24
3686.3791, 2.629954000e+25, 1.166864224e+24
3687.2281, 2.133241720e+25, 1.111326156e+24
3688.0772, 1.860521407e+25, 1.076499016e+24
3688.9265, 1.747069286e+25, 1.093666738e+24
3689.7760, 2.187294268e+25, 1.154309548e+24
3690.6257, 3.010353559e+25, 1.242795029e+24
3691.4756, 3.751083030e+25, 1.330325052e+24
3692.3257, 4.503841642e+25, 1.389810641e+24
3693.1760, 4.239328400e+25, 1.344962385e+24
3694.0264, 3.535548318e+25, 1.276828317e+24
3694.8771, 3.155712044e+25, 1.233856712e+24
3695.7280, 3.226758100e+25, 1.223460350e+24
3696.5791, 3.300389511e+25, 1.225919828e+24
3697.4303, 3.191923616e+25, 1.207638664e+24
3698.2818, 3.421038679e+25, 1.238337858e+24
3699.1335, 3.963305955e+25, 1.289511414e+24
3699.9853, 4.247190017e+25, 1.316722539e+24
3700.8374, 4.051775010e+25, 1.309415688e+24
3701.6896, 3.799546390e+25, 1.279808094e+24
3702.5421, 3.489831921e+25, 1.243400464e+24
3703.3947, 3.267366306e+25, 1.205657102e+24
3704.2475, 2.777341804e+25, 1.135283066e+24
3705.1006, 2.168599048e+25, 1.052926268e+24
3705.9538, 1.767260126e+25, 9.915641587e+23
3706.8072, 1.520086536e+25, 9.640014225e+23
3707.6608, 1.535688775e+25, 9.679347651e+23
3708.5147, 1.542420316e+25, 9.688739094e+23
3709.3687, 1.553346454e+25, 9.821404411e+23
3710.2229, 1.766628598e+25, 1.031578295e+24
3711.0773, 2.329663083e+25, 1.106713348e+24
3711.9319, 3.110536887e+25, 1.192173679e+24
3712.7867, 3.856516238e+25, 1.273294626e+24
3713.6417, 4.332970560e+25, 1.319866082e+24
3714.4969, 4.515723150e+25, 1.341979018e+24
3715.3523, 4.284950533e+25, 1.304606148e+24
3716.2079, 3.599370978e+25, 1.240092226e+24
3717.0637, 3.015070503e+25, 1.173281553e+24
3717.9197, 2.352330125e+25, 1.103410911e+24
3718.7758, 1.961638457e+25, 1.020375093e+24
3719.6322, 1.552368949e+25, 9.217228788e+23
3720.4888, 1.038901757e+25, 8.278150882e+23
3721.3456, 8.891553400e+24, 8.014552707e+23
3722.2025, 8.842578731e+24, 8.213118590e+23
3723.0597, 1.254729579e+25, 8.751904238e+23
3723.9171, 1.527247768e+25, 9.486394689e+23
3724.7746, 1.898314409e+25, 1.014236880e+24
3725.6324, 2.468059707e+25, 1.076146667e+24
