# wavelength, flux, err
3621.5960, -2.879127120e+23, 1.871713062e+25
3622.4300, -2.879790140e+23, 2.701455139e+23
3623.2642, -7.374174496e+22, 1.872575217e+25
3624.0986, 1.405941928e+23, 2.799701768e+23
3624.9331, -4.725565005e+22, 2.843917061e+23
3625.7679, 1.761771986e+23, 2.962758106e+23
3626.6029, 4.985593359e+23, 3.046122002e+23
3627.4380, 6.153513782e+23, 3.297133689e+23
3628.2734, 5.827099679e+23, 3.294079569e+23
3629.1089, 2.043877387e+22, 3.055445139e+23
3629.9446, -1.470118315e+23, 2.932127186e+23
3630.7805, 5.145589530e+22, 2.880916572e+23
3631.6167, 1.142123191e+23, 2.526408133e+23
3632.4530, -1.571268002e+23, 2.404406617e+23
3633.2895, -2.405007771e+22, 2.477313982e+23
3634.1262, 2.509573816e+23, 2.640581354e+23
3634.9630, 4.577635819e+23, 2.732982985e+23
3635.8001, 2.786515931e+23, 2.687224746e+23
3636.6374, -2.096929162e+23, 2.556597811e+23
3637.4749, -1.961159297e+23, 2.566070123e+23
3638.3125, 5.458952986e+23, 2.767318442e+23
3639.1504, 5.561344302e+23, 2.893340578e+23
3639.9884, 1.324984291e+23, 2.872986620e+23
3640.8266, 5.774469593e+22, 2.839486490e+23
3641.6651, 3.286223060e+23, 2.860900359e+23
3642.5037, -1.713444135e+23, 2.632526548e+23
3643.3425, -1.143643375e+22, 2.590513559e+23
3644.1815, 4.960708573e+22, 2.550383030e+23
3645.0207, -9.271675204e+22, 2.475234935e+23
3645.8601, 1.699871750e+23, 2.508743982e+23
3646.6997, 4.063684910e+23, 2.599762527e+23
3647.5395, 3.763161478e+23, 2.584153600e+23
3648.3794, -1.237439603e+23, 2.676102230e+23
3649.2196, -1.390232590e+23, 2.457327318e+23
3650.0600, 4.454757755e+23, 2.327705349e+23
3650.9005, -5.191280179e+22, 2.445586378e+23
3651.7413, 3.110016274e+23, 2.499792122e+23
3652.5822, 4.532971733e+23, 2.758358000e+23
3653.4233, 5.487218410e+23, 2.735327561e+23
3654.2647, 5.086899019e+23, 2.746374989e+23
3655.1062, -8.369870737e+22, 2.716938489e+23
3655.9479, 7.128830671e+23, 2.697776001e+23
3656.7898, 2.726460143e+23, 2.831413892e+23
3657.6319, -1.014520415e+23, 2.571831884e+23
3658.4742, 4.148268046e+23, 2.828220026e+23
3659.3167, 9.047667379e+23, 2.890514716e+23
3660.1594, 2.644054616e+23, 3.002412325e+23
3661.0023, 2.785084167e+23, 3.029819449e+23
3661.8454, 1.502557510e+23, 2.781946151e+23
3662.6886, 1.945048483e+23, 2.633389182e+23
