# wavelength, flux, err
3621.5960, 3.652179718e+01, 4.472424316e+01
3622.4300, 2.230540466e+01, 4.593695450e+01
3623.2642, -2.553556252e+01, 4.704337692e+01
3624.0986, 7.928368378e+01, 4.936378860e+01
3624.9331, 1.173741989e+02, 5.151872635e+01
3625.7679, 2.902552414e+01, 4.969410706e+01
3626.6029, 1.598165512e+01, 5.158981705e+01
3627.4380, 1.748434639e+01, 5.252681732e+01
3628.2734, 2.499077797e+01, 5.280087662e+01
3629.1089, 3.481795883e+01, 5.221866989e+01
3629.9446, 4.548918533e+01, 5.087301636e+01
3630.7805, 3.213250732e+01, 4.863600540e+01
3631.6167, -3.679163742e+01, 4.254638672e+01
3632.4530, -9.610631561e+01, 3.856966400e+01
3633.2895, -4.130611038e+01, 4.068076324e+01
3634.1262, 3.769355774e+01, 4.489056778e+01
3634.9630, 8.081400299e+01, 4.727970505e+01
3635.8001, 7.348074341e+01, 4.748614883e+01
3636.6374, 3.038821602e+01, 4.715080643e+01
3637.4749, 9.727469635e+01, 4.871072006e+01
3638.3125, 5.223878098e+01, 4.829938889e+01
3639.1504, 1.376795387e+01, 4.793773651e+01
3639.9884, 2.125813293e+01, 4.836303329e+01
3640.8266, 8.267404556e+00, 4.868223190e+01
3641.6651, 2.231472969e+01, 4.911338043e+01
3642.5037, -3.866465330e+00, 4.762231445e+01
3643.3425, 3.913621902e+01, 4.750073624e+01
3644.1815, 4.660031128e+01, 4.577415848e+01
3645.0207, -5.681793690e+00, 4.315029144e+01
3645.8601, -9.315728188e+00, 4.191637802e+01
3646.6997, 6.485978127e+00, 4.257741165e+01
3647.5395, 8.289678955e+01, 4.481550217e+01
3648.3794, 3.310565186e+01, 4.181552124e+01
3649.2196, -3.072204590e+01, 4.028815460e+01
3650.0600, 2.309669971e+00, 4.151482391e+01
3650.9005, 2.746293640e+01, 4.404511642e+01
3651.7413, 5.309328079e+00, 4.416774750e+01
3652.5822, -5.396894455e+01, 4.325424957e+01
3653.4233, -4.894663620e+01, 4.454167938e+01
3654.2647, 8.900806427e+00, 4.636106110e+01
3655.1062, 4.775939941e+01, 4.767481232e+01
3655.9479, 4.472199631e+01, 4.775186539e+01
3656.7898, 1.251019382e+01, 4.585158920e+01
3657.6319, 4.756484985e+01, 4.720066452e+01
3658.4742, 1.088360214e+01, 4.551271057e+01
3659.3167, -3.027678108e+01, 4.572898102e+01
3660.1594, 5.134402847e+01, 4.709384155e+01
3661.0023, 5.642692566e+01, 4.735911560e+01
3661.8454, 1.155629826e+01, 4.602000809e+01
3662.6886, 5.056633377e+01, 4.691157532e+01
3663.5321, 5.090824890e+01, 4.572322845e+01
3664.3757, 3.729443359e+01, 4.620389557e+01
3665.2196, 1.036610718e+02, 4.560850906e+01
3666.0636, -3.897704315e+01, 4.408372498e+01
3666.9079, 8.653161621e+01, 4.572089767e+01
3667.7523, 6.093690491e+01, 4.471948242e+01
3668.5969, -5.333677292e+00, 4.329150391e+01
3669.4418, 4.508085251e+01, 4.220333481e+01
3670.2868, 2.855689812e+01, 4.139025497e+01
3671.1320, 8.524354935e+00, 4.168872452e+01
3671.9774, 1.144455872e+02, 4.403574371e+01
3672.8230, 3.143654633e+01, 4.375114441e+01
3673.6688, -6.091075897e+00, 4.365022278e+01
3674.5148, 1.480352631e+02, 4.528723526e+01
3675.3610, 2.148970222e+01, 4.367681503e+01
3676.2074, 5.595736027e+00, 4.212995529e+01
3677.0539, 1.277740707e+02, 4.430920410e+01
3677.9007, 8.785656738e+01, 4.140922165e+01
3678.7477, 7.893718719e+00, 3.961712646e+01
