# wavelength, flux, err
3621.5960, 2.464664459e+01, 9.999899902e+02
3622.4300, 2.464664459e+01, 5.832385063e+00
3623.2642, 1.875321388e+01, 9.999899902e+02
3624.0986, 1.285978317e+01, 5.434031487e+00
3624.9331, 2.743936157e+01, 5.957757950e+00
3625.7679, 2.933347511e+01, 5.871459007e+00
3626.6029, 2.267203331e+01, 5.917635918e+00
3627.4380, 1.989746094e+01, 5.617182255e+00
3628.2734, 2.526358604e+01, 5.669137478e+00
3629.1089, 2.907621765e+01, 5.725179195e+00
3629.9446, 1.640472984e+01, 5.126187325e+00
3630.7805, 1.426046181e+01, 4.978535652e+00
3631.6167, 1.219533920e+01, 4.904381275e+00
3632.4530, 5.341597080e+00, 4.674699783e+00
3633.2895, 6.328739643e+00, 4.656713009e+00
3634.1262, 1.351299953e+01, 4.941703796e+00
3634.9630, 1.559055614e+01, 5.027971268e+00
3635.8001, 1.768790054e+01, 5.214741230e+00
3636.6374, 2.019753075e+01, 5.244271755e+00
3637.4749, 2.273089981e+01, 5.416530609e+00
3638.3125, 2.621143913e+01, 5.529556274e+00
3639.1504, 2.596378326e+01, 5.548558712e+00
3639.9884, 3.732767105e+01, 5.885245800e+00
3640.8266, 4.111436462e+01, 5.892086983e+00
3641.6651, 3.121692276e+01, 5.505067348e+00
3642.5037, 1.988605881e+01, 5.130982876e+00
3643.3425, 2.058649445e+01, 4.977186203e+00
3644.1815, 2.002270699e+01, 4.814494610e+00
3645.0207, 1.070017242e+01, 4.524465084e+00
3645.8601, 9.132032394e+00, 4.344559193e+00
3646.6997, 2.058460999e+01, 4.878382206e+00
3647.5395, 2.668264008e+01, 4.878954411e+00
3648.3794, 6.205061913e+00, 4.261891365e+00
3649.2196, 1.182063580e+01, 4.554529190e+00
3650.0600, 1.845808601e+01, 4.800226688e+00
3650.9005, 1.763504791e+01, 4.731106758e+00
3651.7413, 1.492307663e+01, 4.549855709e+00
3652.5822, 1.365093994e+01, 4.612864494e+00
3653.4233, 8.651965141e+00, 4.364805222e+00
3654.2647, 1.555257988e+01, 4.692971230e+00
3655.1062, 1.746224976e+01, 4.751295567e+00
3655.9479, 1.428155041e+01, 4.523452759e+00
3656.7898, 1.863533783e+01, 4.794909954e+00
3657.6319, 3.198050117e+01, 5.032208920e+00
3658.4742, 2.371695137e+01, 5.067380428e+00
3659.3167, 3.050693130e+01, 5.166369438e+00
3660.1594, 3.585927963e+01, 5.315093040e+00
3661.0023, 3.135099602e+01, 5.136998653e+00
3661.8454, 2.162077713e+01, 4.850179195e+00
3662.6886, 1.469739056e+01, 4.592399120e+00
3663.5321, 2.731556892e+01, 4.720385075e+00
3664.3757, 2.519347382e+01, 4.869134426e+00
3665.2196, 2.039727402e+01, 4.579058647e+00
3666.0636, 2.248663330e+01, 4.689089298e+00
3666.9079, 2.700631905e+01, 4.732424259e+00
3667.7523, 3.001800728e+01, 4.796494961e+00
3668.5969, 3.146273041e+01, 4.734889507e+00
3669.4418, 2.087751770e+01, 4.499758244e+00
3670.2868, 2.021290970e+01, 4.421157360e+00
3671.1320, 2.862820435e+01, 4.631331921e+00
3671.9774, 2.617018318e+01, 4.585672379e+00
3672.8230, 2.678115082e+01, 4.478839874e+00
3673.6688, 2.951353836e+01, 4.533157825e+00
3674.5148, 2.536169815e+01, 4.435728550e+00
3675.3610, 2.103200150e+01, 4.188080788e+00
3676.2074, 2.225799561e+01, 4.177873135e+00
3677.0539, 2.389204407e+01, 4.124643803e+00
3677.9007, 2.164462090e+01, 4.069017887e+00
3678.7477, 2.286433601e+01, 4.006095409e+00
3679.5948, 1.127107716e+01, 3.758924007e+00
3680.4422, 8.329374313e+00, 3.538870573e+00
3681.2897, 2.484779549e+01, 4.151483536e+00
3682.1375, 2.594096565e+01, 4.089736938e+00
3682.9854, 1.722158813e+01, 3.947358370e+00
3683.8336, 2.856894112e+01, 4.149672508e+00
3684.6819, 2.491091156e+01, 3.920748234e+00
3685.5304, 1.106191349e+01, 3.576879501e+00
3686.3791, 1.222553062e+01, 3.421722889e+00
3687.2281, 1.055695915e+01, 3.339931965e+00
3688.0772, 8.021305084e+00, 3.314218760e+00
3688.9265, 8.841944695e+00, 3.477378130e+00
3689.7760, 1.711870384e+01, 3.807897806e+00
3690.6257, 2.419174576e+01, 4.027315140e+00
3691.4756, 1.905666351e+01, 3.871531725e+00
3692.3257, 1.549050522e+01, 3.744547367e+00
3693.1760, 2.834397888e+01, 4.019518375e+00
3694.0264, 2.534413338e+01, 3.918746710e+00
3694.8771, 2.175134659e+01, 3.941370487e+00
3695.7280, 2.814223289e+01, 3.946097851e+00
3696.5791, 2.538126564e+01, 3.873791695e+00
3697.4303, 1.600837135e+01, 3.843986750e+00
3698.2818, 1.991802788e+01, 3.754614592e+00
3699.1335, 2.776085854e+01, 4.123828411e+00
3699.9853, 3.289149094e+01, 4.169079781e+00
3700.8374, 3.182064819e+01, 4.168052673e+00
3701.6896, 2.291407776e+01, 3.849029541e+00
3702.5421, 2.292901611e+01, 3.826038837e+00
3703.3947, 2.141024971e+01, 3.619744539e+00
3704.2475, 1.675747490e+01, 3.465961218e+00
3705.1006, 1.190847492e+01, 3.264155388e+00
3705.9538, 1.147835732e+01, 3.253728151e+00
3706.8072, 1.682150841e+01, 3.385399580e+00
3707.6608, 1.010532761e+01, 3.258979321e+00
3708.5147, 1.370971489e+01, 3.259771824e+00
3709.3687, 1.503264332e+01, 3.394472599e+00
3710.2229, 1.231011391e+01, 3.379266262e+00
3711.0773, 1.865698242e+01, 3.539469481e+00
3711.9319, 2.542968369e+01, 3.733479738e+00
3712.7867, 2.247232056e+01, 3.770392179e+00
3713.6417, 3.047965050e+01, 3.920497894e+00
3714.4969, 2.947139549e+01, 3.886257887e+00
3715.3523, 1.557708931e+01, 3.442398071e+00
3716.2079, 1.654129982e+01, 3.448491573e+00
3717.0637, 2.405617523e+01, 3.540343761e+00
3717.9197, 2.267873001e+01, 3.415692568e+00
3718.7758, 1.873243713e+01, 3.106319904e+00
3719.6322, 1.630038834e+01, 2.934314251e+00
3720.4888, 1.287584591e+01, 2.736773729e+00
3721.3456, 6.108451843e+00, 2.561350584e+00
3722.2025, 5.615816593e+00, 2.643935442e+00
3723.0597, 7.988461971e+00, 2.798381567e+00
3723.9171, 1.265051365e+01, 3.057175398e+00
3724.7746, 1.789373207e+01, 3.280782461e+00
3725.6324, 2.186323929e+01, 3.361769199e+00
3726.4903, 2.371395683e+01, 3.285205126e+00
3727.3485, 1.594345379e+01, 3.140698433e+00
3728.2068, 1.807377243e+01, 3.132214308e+00
3729.0654, 1.795878029e+01, 3.150975943e+00
3729.9241, 1.220731926e+01, 3.009772778e+00
3730.7831, 1.215613651e+01, 2.860066891e+00
3731.6422, 1.604833984e+01, 2.986196518e+00
3732.5016, 1.225860023e+01, 2.760879040e+00
3733.3611, 1.144036770e+01, 2.669769764e+00
3734.2209, 8.093409538e+00, 2.411537170e+00
3735.0808, 3.342264652e+00, 2.339402914e+00
3735.9409, 7.870758533e+00, 2.435795069e+00
3736.8013, 9.680953979e+00, 2.680577517e+00
3737.6618, 1.042129707e+01, 2.751376629e+00
3738.5225, 1.457078075e+01, 3.034623623e+00
3739.3834, 1.873195267e+01, 3.228756905e+00
3740.2446, 1.902424049e+01, 3.261962414e+00
3741.1059, 1.742200089e+01, 3.174014330e+00
3741.9674, 1.599115276e+01, 3.076981783e+00
3742.8291, 1.665809250e+01, 3.012274027e+00
3743.6910, 1.557363129e+01, 2.854897022e+00
3744.5532, 1.273354721e+01, 2.712995529e+00
3745.4155, 1.123341179e+01, 2.611572981e+00
3746.2780, 1.189891434e+01, 2.649986982e+00
3747.1407, 1.176338291e+01, 2.556244135e+00
3748.0036, 1.169659233e+01, 2.508949041e+00
3748.8667, 1.167396545e+01, 2.466304302e+00
3749.7300, 1.074261379e+01, 2.579894781e+00
3750.5935, 8.734580994e+00, 2.604937315e+00
3751.4572, 8.679577827e+00, 2.682268620e+00
3752.3211, 1.536279488e+01, 2.890381098e+00
3753.1852, 2.191712189e+01, 3.111101866e+00
3754.0495, 2.068106270e+01, 3.096114874e+00
3754.9140, 2.049985695e+01, 3.234606266e+00
3755.7787, 3.139692688e+01, 3.196803331e+00
3756.6436, 2.310445404e+01, 3.125664711e+00
3757.5087, 2.144812393e+01, 2.785439491e+00
3758.3740, 1.692204666e+01, 2.695610285e+00
3759.2395, 1.255985451e+01, 2.618499756e+00
3760.1052, 1.268036270e+01, 2.587296009e+00
3760.9711, 1.193162537e+01, 2.584608078e+00
3761.8372, 2.025088501e+01, 2.747496843e+00
3762.7035, 1.885356712e+01, 2.734060764e+00
3763.5700, 1.424833679e+01, 2.576155424e+00
3764.4367, 1.310116100e+01, 2.549817562e+00
3765.3036, 1.549424839e+01, 2.624900341e+00
3766.1707, 1.883124924e+01, 2.670342445e+00
