ra, dec, MJD, MANGAID, Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],User Spectral Type,User [Fe/H]
011.33365,+032.89717,57676,3-96870897,csv,-7.001666666461371,K5,-2.0,K1,-2.0
012.66396,+039.37946,57265,4-15421,csv,4.85333333319103,G7,-1.5,G7,-1.5
012.66396,+039.37946,57271,4-15421,csv,-5.388333333175349,G9,-0.5,K2,+0.0
012.66396,+039.37946,57292,4-15421,csv,-2.834999999916889,K3,+0.5,K3,+0.5
013.70123,+039.99766,57271,4-15442,csv,-6.718333333136358,K7,+0.5,K3,+0.5
015.07288,+040.07565,57292,4-15416,csv,-3.3649999999013267,K2,-1.0,K2,-1.0
023.88387,+032.16328,57712,3-83261223,csv,-18.317499999462935,G4,-0.5,G4,-0.5
024.18822,+030.71283,57712,3-85213324,csv,-4.04999999988125,G9,-0.5,G9,-0.5
024.70812,+030.67521,57712,3-84191865,csv,-4.063333333214202,G4,-0.5,G4,-0.5
034.98807,-006.07206,57327,3-103404412,csv,-1.2899999999621834,K3,-2.0,K3,-2.0
034.98807,-006.07206,57678,3-103404412,csv,-0.19249999999435508,K5,-2.0,K5,-2.0
035.65829,-005.06366,57327,3-103101874,csv,6.624999999805752,K7,-0.5,K7,-0.5
038.30525,+027.18375,57680,3-71183191,csv,-7.742499999772987,G4,-0.5,G4,-0.5
040.45022,+027.69276,57677,3-66797485,csv,5.176666666514882,G5,+0.0,G5,+0.0
040.45022,+027.69276,57680,3-66797485,csv,-0.6316666666481474,K2,-1.0,K2,-1.0
040.45022,+027.69276,57709,3-66797485,csv,-1.713333333283097,K2,+0.5,K2,+0.5
043.78836,+036.16373,57787,3-49498978,csv,-6.542499999808185,G8,-0.5,G8,-0.5
044.80770,+034.86045,57787,3-49499953,csv,3.467499999898319,G9,-0.5,G9,-0.5
044.89212,+035.15947,57787,3-48989630,csv,2.6649999999218723,G3,+0.0,G3,+0.0
049.92579,+019.17473,57408,3-66257519,csv,0.05833333333163101,G1,+0.0,G1,+0.0
049.92579,+019.17473,57653,3-66257519,csv,1.6166666666192675,K4,+0.5,K4,+0.5
050.20143,+018.93877,57408,3-66257661,csv,-4.5499999998665865,K2,+0.5,K2,+0.5
050.20143,+018.93877,57653,3-66257661,csv,0.7316666666452126,K4,-1.0,K4,-1.0
050.29045,+019.05608,57653,3-66257649,csv,-0.7216666666455103,K4,+0.5,K4,+0.5
