#Filename,File Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],User Spectral Type,User [Fe/H]
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/000.76124-000.26151_57654_3-106028921.txt,csv,46.878333331958856,A0,+0.0,A0,+0.0
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/000.94599+085.46329_57556_3-2779683.txt,csv,-7.404999999782888,M4,+0.5,M4,+0.5
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/001.00067-000.19759_57654_3-106010730.txt,csv,76.04499999777038,A2,+0.0,A2,+0.0
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/001.04253+001.27306_57654_7-273743.txt,csv,-0.1483333333289917,K4,-1.0,K4,-1.0
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/001.06417+002.09015_57654_3-105853927.txt,csv,-4.496666666534826,M0,+0.5,M0,+0.5
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/001.28565+001.11006_57654_7-146204.txt,csv,3.743333333223582,K3,-1.0,K3,-1.0
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/001.35004+000.99759_57654_7-159486.txt,csv,-3.5816666665616466,K4,-2.0,K4,-2.0
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/001.51553+001.08011_57654_3-105915183.txt,csv,-1.1783333332987793,K7,+0.5,K7,+0.5
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/001.65761+001.39524_57654_7-175365.txt,csv,59.351666664926476,G4,-1.5,G4,-1.5
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/001.77192+086.48714_57556_3-1928712.txt,csv,-9.1766666663976,K7,+0.5,K7,+0.5
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/001.77192+086.48714_57887_3-1928712.txt,csv,1.5524999999544693,K7,-0.5,K7,-0.5
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/001.90588+001.05576_57654_3-105895429.txt,csv,-0.8349999999755129,K5,-0.5,K5,-0.5
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/002.14820-000.08393_57654_7-80877.txt,csv,6.3033333331485215,K4,-2.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/002.17898+084.96505_57556_7-51543.txt,csv,-0.7783333333105079,K5,-2.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/002.17898+084.96505_57887_7-51543.txt,csv,-1.298333333295265,K5,-2.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/002.38896+000.40779_57654_3-105895582.txt,csv,-3.7166666665576873,K7,+0.5,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/002.46972+086.30908_57556_7-26672.txt,csv,-5.374999999842408,K2,-1.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/002.51682+001.49592_57654_3-105812035.txt,csv,-3.723333333224175,G7,-1.5,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/002.67177+084.62950_57556_7-125963.txt,csv,0.8833333333074425,K3,-1.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/002.91715+084.59853_57672_3-3407677.txt,csv,50.06833333186534,A9,+0.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/002.91715+084.59853_57822_3-3407677.txt,csv,-34.769999998980545,A9,+0.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/002.92744+001.16076_57654_3-105812093.txt,csv,6.183333333152035,C3,+0.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/004.80420+086.31656_57556_3-2063261.txt,csv,-14.607499999571695,M4,+0.5,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/004.80420+086.31656_57887_3-2063261.txt,csv,-8.40666666642018,M4,+0.5,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/004.94887+084.61623_57672_3-3245877.txt,csv,-10.3266666663639,M2,+1.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/004.94887+084.61623_57709_3-3245877.txt,csv,-9.66499999971662,M3,+0.5,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/004.94887+084.61623_57822_3-3245877.txt,csv,-6.2116666664845495,M3,+0.5,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/008.66030+033.43404_57676_7-24681529.txt,csv,-10.899999999680396,G9,-0.5,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/008.88742+032.87830_57676_7-24729361.txt,csv,0.6383333333146229,G6,+0.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/009.13879+033.15855_57676_7-24738650.txt,csv,-4.8716666665238195,K3,-1.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/009.15156+032.16802_57676_3-98435239.txt,csv,-13.582499999601772,G9,-0.5,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/009.37412+085.25576_57672_3-2630485.txt,csv,-12.369999999637315,M2,+1.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/009.37412+085.25576_57709_3-2630485.txt,csv,-11.529999999661944,M2,+1.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/009.53752+032.58973_57676_7-24659360.txt,csv,-4.628333333197625,K1,+0.5,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/009.89409+031.53466_57676_3-98435648.txt,csv,-4.679999999862772,K7,+0.5,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/009.97402+032.70140_57676_7-24826189.txt,csv,-6.762499999801715,G6,+0.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/009.99002+033.64932_57676_3-97297476.txt,csv,-5.989999999824372,K5,-2.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/010.15402+033.11515_57676_7-1089567.txt,csv,-16.297499999522177,F8,-0.5,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/010.19749+033.90881_57676_7-1208820.txt,csv,-2.4683333332609636,K4,-2.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/010.22608+031.73037_57676_3-98078326.txt,csv,5.672499999833685,K5,-2.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/010.23017+084.88338_57556_3-2780352.txt,csv,-80.50333333097298,A7,-1.5,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/010.67889+033.12537_57676_7-1123547.txt,csv,-4.07833333321376,K5,-0.5,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/010.68806+033.96907_57676_7-1306303.txt,csv,-5.626666666501696,F7,+0.0,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/010.75674+033.45411_57676_3-96870664.txt,csv,-8.18999999975987,G9,-0.5,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/010.93534+084.91435_57672_3-2780226.txt,csv,-6.4949999998095675,M1,+0.5,nan,nan
/Users/benjaminroulston/Dropbox/Research/TDSS/Variable_Stars/WORKING_DIRECTORY/SB2_Composites/MaStar_spec/010.93534+084.91435_57709_3-2780226.txt,csv,-9.471666666388957,M2,+0.0,nan,nan
