#Filename,File Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],User Spectral Type,User [Fe/H]
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57022_4-3468.txt,csv,4.751666666527353,K3,+0.5,K3,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57022_4-3862.txt,csv,1.8049999999470756,K3,+0.5,K3,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57027_4-3862.txt,csv,-2.429999999928745,K5,+0.5,K5,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57037_4-16792.txt,csv,-6.0649999998221675,G8,+0.0,G8,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57055_4-16792.txt,csv,-13.40999999960682,G8,+0.0,G8,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57056_4-16792.txt,csv,-0.4533333333200463,G5,+0.0,G5,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57058_4-3468.txt,csv,8.528333333083276,G6,-0.5,G6,-0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57058_4-3862.txt,csv,2.693333333254374,K3,-1.0,K3,-1.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57061_4-3862.txt,csv,0.9116666666399365,K4,+0.5,K4,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57061_4-16792.txt,csv,-3.326666666569127,G6,+0.0,G6,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57061_4-17324.txt,csv,-9.822499999712,G3,+0.0,G3,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57063_4-17324.txt,csv,-4.859999999857502,G3,+0.0,G3,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57064_4-16792.txt,csv,-2.833333333250265,G6,+0.0,G6,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57064_4-17324.txt,csv,-8.696666666411689,G3,+0.0,G3,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57109_4-16792.txt,csv,-0.17499999999485816,G5,+0.0,G5,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57114_4-1222.txt,csv,-56.41166666501268,F3,+0.0,F3,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57292_4-15425.txt,csv,-7.737499999773128,G0,-0.5,G0,-0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57293_27-1023.txt,csv,7.783333333105124,K4,+0.5,K4,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57293_27-1036.txt,csv,-7.604999999777022,G8,+0.0,G8,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57294_4-15007.txt,csv,-3.611666666560779,M0,+0.5,M0,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57295_3-103575644.txt,csv,-3.6283333332269465,M0,+0.5,M0,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57295_3-103630624.txt,csv,-7.8516666664364605,M2,+1.0,M2,+1.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57295_7-16558502.txt,csv,5.70999999983259,G5,+0.0,G5,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57296_4-7260.txt,csv,-12.791666666291613,G8,+0.0,G8,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57296_4-7261.txt,csv,-2.1049999999382862,K3,+0.5,K3,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57296_4-11140.txt,csv,-4.766666666526905,K4,+0.5,K4,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57296_27-1036.txt,csv,-7.4483333331149515,G8,+0.0,G8,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57297_4-7021.txt,csv,-4.552499999866531,K4,-1.0,K4,-1.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57297_4-7260.txt,csv,-1.3666666666265872,G4,-0.5,G4,-0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57297_4-7261.txt,csv,-4.496666666534828,K3,+0.5,K3,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57297_4-11140.txt,csv,-5.93999999982585,K3,-1.0,K3,-1.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57321_3-71621293.txt,csv,-19.852499999417926,M5,+0.5,M5,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57324_3-71621293.txt,csv,-12.437499999635332,M5,+0.5,M5,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57327_3-103101579.txt,csv,-8.411666666420034,M3,+0.5,M3,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57327_27-1023.txt,csv,3.093333333242637,K4,-1.0,K4,-1.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57327_27-1036.txt,csv,-13.482499999604698,G4,-0.5,G4,-0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57328_4-1222.txt,csv,-30.57499999910354,F4,-0.5,F4,-0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57329_3-103630624.txt,csv,-15.198333332887733,M2,+1.0,M2,+1.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57329_4-899.txt,csv,-7.059999999792995,F9,+0.0,F9,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57329_4-911.txt,csv,-0.5733333333165205,G4,-0.5,G4,-0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57331_27-1721.txt,csv,-3.269999999904128,G9,+0.0,G9,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57331_27-1725.txt,csv,-2.353333333264338,K7,+0.5,K7,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57331_27-1726.txt,csv,-10.731666666352025,M2,+1.0,M2,+1.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57348_3-70677577.txt,csv,-10.046666666372095,M2,+0.0,M2,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57348_3-71693697.txt,csv,-2.9016666665815904,M4,+0.5,M4,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57349_3-103630624.txt,csv,-7.816666666437484,M4,+0.5,M4,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57350_4-899.txt,csv,-2.9833333332458554,F7,-1.0,F7,-1.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57350_4-911.txt,csv,-5.146666666515763,G4,-0.5,G4,-0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57356_4-899.txt,csv,7.097499999791907,F9,+0.0,F9,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57356_4-907.txt,csv,7.38499999978347,G5,-0.5,G5,-0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57356_4-911.txt,csv,-6.898333333131085,G4,-0.5,G4,-0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57356_4-920.txt,csv,8.979999999736709,G4,-0.5,G4,-0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57357_4-1668.txt,csv,250.62999999265153,WD1,+0.0,WD1,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57358_3-70677577.txt,csv,-9.583333333052357,M2,+0.0,M2,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57358_3-71693697.txt,csv,-2.7483333332527558,M4,+0.5,M4,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57360_27-1721.txt,csv,-3.0783333332430876,G9,-0.5,G9,-0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57360_27-1725.txt,csv,-3.2399999999049975,K7,+0.5,K7,+0.5
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57361_4-1668.txt,csv,189.1833333277865,WD1,+0.0,WD1,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57409_3-134064659.txt,csv,-9.414999999723952,M2,+0.0,M2,+0.0
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57411_3-31409545.txt,csv,-4.526666666533938,K5,-2.0,nan,nan
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57412_7-9484181.txt,csv,-7.863333333102784,M2,+0.0,nan,nan
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57415_3-132377735.txt,csv,-5.869999999827887,M0,+0.5,nan,nan
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57415_7-9484181.txt,csv,-8.606666666414322,M2,+0.0,nan,nan
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57417_3-134064659.txt,csv,-4.549999999866591,M1,+0.5,nan,nan
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57418_3-132377735.txt,csv,-2.5983333332571354,K5,+0.5,nan,nan
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57418_7-9484181.txt,csv,-6.7149999998031165,M2,+0.0,nan,nan
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57440_3-134064659.txt,csv,-2.679999999921415,M1,+0.5,nan,nan
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57442_3-115398949.txt,csv,-7.954999999766764,M4,+0.5,nan,nan
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57443_3-42230396.txt,csv,-2.448333333261535,M2,+1.0,nan,nan
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57443_3-134064659.txt,csv,-7.818333333104095,M2,+0.0,nan,nan
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57446_3-132377735.txt,csv,3.3833333332341464,M0,+0.5,nan,nan
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57463_3-115398949.txt,csv,-10.572499999690013,M4,+0.5,nan,nan
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57463_3-116569186.txt,csv,-9.353333333059108,M3,+0.5,nan,nan
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57465_3-134064659.txt,csv,-6.171666666485712,M2,+0.0,nan,nan
/Users/benjaminroulston/Desktop/MaStar_spec/-999.00000-999.00000_57465_3-152627608.txt,csv,-1.1949999999649539,K3,-1.0,nan,nan
