# wavelength, Lum, Lum_error
3650.0519, 3.368848047e+25, 1.781780143e+24
3650.1128, 3.395987560e+25, 1.787298360e+24
3650.1737, 3.422547929e+25, 1.792537989e+24
3650.2346, 3.449108741e+25, 1.797784258e+24
3650.2954, 3.475669996e+25, 1.803037111e+24
3650.3563, 3.502231694e+25, 1.808296492e+24
3650.4172, 3.528793835e+25, 1.813562344e+24
3650.4781, 3.555356419e+25, 1.818834613e+24
3650.5390, 3.581919447e+25, 1.824113243e+24
3650.5999, 3.608482917e+25, 1.829398182e+24
3650.6607, 3.635046830e+25, 1.834689376e+24
3650.7216, 3.661611186e+25, 1.839986771e+24
3650.7825, 3.688175986e+25, 1.845290315e+24
3650.8434, 3.714741228e+25, 1.850599957e+24
3650.9043, 3.739498029e+25, 1.855641953e+24
3650.9652, 3.737005038e+25, 1.856566888e+24
3651.0261, 3.734512004e+25, 1.857497789e+24
3651.0870, 3.732018930e+25, 1.858434646e+24
3651.1479, 3.729525813e+25, 1.859377452e+24
3651.2088, 3.727032655e+25, 1.860326198e+24
3651.2697, 3.724539456e+25, 1.861280874e+24
3651.3305, 3.722046215e+25, 1.862241473e+24
3651.3914, 3.719552932e+25, 1.863207984e+24
3651.4523, 3.717059608e+25, 1.864180400e+24
3651.5132, 3.714566242e+25, 1.865158711e+24
3651.5741, 3.712072835e+25, 1.866142909e+24
3651.6350, 3.709579386e+25, 1.867132984e+24
3651.6960, 3.707085895e+25, 1.868128928e+24
3651.7569, 3.708469733e+25, 1.869096884e+24
3651.8178, 3.721155662e+25, 1.869968872e+24
3651.8787, 3.733841801e+25, 1.870841674e+24
3651.9396, 3.746528153e+25, 1.871715288e+24
3652.0005, 3.759214715e+25, 1.872589714e+24
3652.0614, 3.771901490e+25, 1.873464950e+24
3652.1223, 3.784588476e+25, 1.874340996e+24
3652.1832, 3.797275674e+25, 1.875217849e+24
3652.2441, 3.809963083e+25, 1.876095510e+24
3652.3050, 3.822650704e+25, 1.876973977e+24
3652.3660, 3.835338536e+25, 1.877853249e+24
3652.4269, 3.848026580e+25, 1.878733325e+24
3652.4878, 3.860714836e+25, 1.879614204e+24
3652.5487, 3.873403303e+25, 1.880495885e+24
3652.6096, 3.891944782e+25, 1.882593527e+24
3652.6705, 3.917635351e+25, 1.886176691e+24
3652.7315, 3.943326347e+25, 1.889761340e+24
3652.7924, 3.969017773e+25, 1.893347466e+24
3652.8533, 3.994709626e+25, 1.896935061e+24
3652.9142, 4.020401909e+25, 1.900524117e+24
3652.9752, 4.046094620e+25, 1.904114626e+24
3653.0361, 4.071787759e+25, 1.907706581e+24
3653.0970, 4.097481327e+25, 1.911299973e+24
3653.1579, 4.123175323e+25, 1.914894795e+24
3653.2189, 4.148869748e+25, 1.918491039e+24
3653.2798, 4.174564601e+25, 1.922088698e+24
3653.3407, 4.200259883e+25, 1.925687764e+24
3653.4017, 4.225955594e+25, 1.929288230e+24
3653.4626, 4.231685257e+25, 1.930333834e+24
3653.5235, 4.226415239e+25, 1.929972436e+24
3653.5845, 4.221145133e+25, 1.929612268e+24
3653.6454, 4.215874939e+25, 1.929253331e+24
3653.7063, 4.210604657e+25, 1.928895626e+24
3653.7673, 4.205334287e+25, 1.928539153e+24
3653.8282, 4.200063830e+25, 1.928183914e+24
3653.8891, 4.194793284e+25, 1.927829909e+24
3653.9501, 4.189522651e+25, 1.927477138e+24
3654.0110, 4.184251929e+25, 1.927125603e+24
3654.0720, 4.178981120e+25, 1.926775304e+24
3654.1329, 4.173710223e+25, 1.926426242e+24
3654.1939, 4.168439238e+25, 1.926078418e+24
3654.2548, 4.163168165e+25, 1.925731832e+24
3654.3158, 4.149673254e+25, 1.923539297e+24
3654.3767, 4.134584331e+25, 1.920991779e+24
3654.4376, 4.119495156e+25, 1.918447432e+24
3654.4986, 4.104405730e+25, 1.915906271e+24
3654.5596, 4.089316052e+25, 1.913368307e+24
3654.6205, 4.074226122e+25, 1.910833554e+24
3654.6815, 4.059135940e+25, 1.908302025e+24
3654.7424, 4.044045507e+25, 1.905773734e+24
3654.8034, 4.028954822e+25, 1.903248693e+24
3654.8643, 4.013863886e+25, 1.900726915e+24
3654.9253, 3.998772698e+25, 1.898208415e+24
3654.9862, 3.983681258e+25, 1.895693205e+24
3655.0472, 3.968589566e+25, 1.893181299e+24
3655.1082, 3.954103550e+25, 1.890708406e+24
3655.1691, 3.957902328e+25, 1.889314863e+24
3655.2301, 3.961701171e+25, 1.887922464e+24
3655.2910, 3.965500076e+25, 1.886531212e+24
3655.3520, 3.969299045e+25, 1.885141109e+24
3655.4130, 3.973098077e+25, 1.883752159e+24
3655.4739, 3.976897173e+25, 1.882364364e+24
3655.5349, 3.980696332e+25, 1.880977726e+24
3655.5959, 3.984495554e+25, 1.879592248e+24
3655.6568, 3.988294840e+25, 1.878207934e+24
3655.7178, 3.992094189e+25, 1.876824784e+24
3655.7788, 3.995893602e+25, 1.875442804e+24
3655.8398, 3.999693078e+25, 1.874061994e+24
3655.9007, 4.003492617e+25, 1.872682357e+24
3655.9617, 4.010460246e+25, 1.872072599e+24
3656.0227, 4.028253841e+25, 1.874090779e+24
3656.0837, 4.046047733e+25, 1.876110065e+24
3656.1446, 4.063841922e+25, 1.878130456e+24
3656.2056, 4.081636407e+25, 1.880151946e+24
3656.2666, 4.099431189e+25, 1.882174533e+24
3656.3276, 4.117226268e+25, 1.884198213e+24
3656.3886, 4.135021644e+25, 1.886222983e+24
3656.4495, 4.152817317e+25, 1.888248840e+24
3656.5105, 4.170613286e+25, 1.890275780e+24
3656.5715, 4.188409552e+25, 1.892303800e+24
3656.6325, 4.206206115e+25, 1.894332897e+24
3656.6935, 4.224002975e+25, 1.896363067e+24
3656.7545, 4.241800131e+25, 1.898394307e+24
3656.8155, 4.252931286e+25, 1.899348524e+24
3656.8764, 4.254879342e+25, 1.898818086e+24
3656.9374, 4.256827431e+25, 1.898287881e+24
3656.9984, 4.258775553e+25, 1.897757909e+24
3657.0594, 4.260723707e+25, 1.897228170e+24
3657.1204, 4.262671893e+25, 1.896698664e+24
3657.1814, 4.264620112e+25, 1.896169392e+24
3657.2424, 4.266568364e+25, 1.895640354e+24
3657.3034, 4.268516648e+25, 1.895111550e+24
3657.3644, 4.270464964e+25, 1.894582980e+24
3657.4254, 4.272413314e+25, 1.894054645e+24
3657.4864, 4.274361695e+25, 1.893526544e+24
3657.5474, 4.276310109e+25, 1.892998678e+24
3657.6084, 4.278258556e+25, 1.892471048e+24
3657.6694, 4.276802268e+25, 1.892516223e+24
3657.7304, 4.273211897e+25, 1.892920517e+24
3657.7914, 4.269621466e+25, 1.893325055e+24
3657.8524, 4.266030975e+25, 1.893729837e+24
3657.9134, 4.262440424e+25, 1.894134864e+24
3657.9744, 4.258849814e+25, 1.894540134e+24
3658.0354, 4.255259143e+25, 1.894945649e+24
3658.0964, 4.251668413e+25, 1.895351407e+24
3658.1575, 4.248077623e+25, 1.895757409e+24
3658.2185, 4.244486773e+25, 1.896163654e+24
3658.2795, 4.240895863e+25, 1.896570143e+24
3658.3405, 4.237304893e+25, 1.896976875e+24
3658.4015, 4.233713863e+25, 1.897383850e+24
3658.4625, 4.230122773e+25, 1.897791068e+24
3658.5235, 4.250324847e+25, 1.900431034e+24
3658.5846, 4.276154822e+25, 1.903599145e+24
3658.6456, 4.301985227e+25, 1.906767360e+24
3658.7066, 4.327816064e+25, 1.909935678e+24
3658.7676, 4.353647331e+25, 1.913104100e+24
3658.8286, 4.379479029e+25, 1.916272625e+24
3658.8897, 4.405311158e+25, 1.919441252e+24
3658.9507, 4.431143718e+25, 1.922609982e+24
3659.0117, 4.456976708e+25, 1.925778815e+24
3659.0727, 4.482810130e+25, 1.928947750e+24
3659.1338, 4.508643982e+25, 1.932116786e+24
3659.1948, 4.534478265e+25, 1.935285924e+24
