# wavelength, Lum[W], Lum_error [W]
3650.0519, 3.025211428e+25, 1.402071275e+24
3650.1128, 3.027499015e+25, 1.402213768e+24
3650.1737, 3.028416577e+25, 1.402138428e+24
3650.2346, 3.029334154e+25, 1.402063095e+24
3650.2954, 3.030251747e+25, 1.401987770e+24
3650.3563, 3.031169355e+25, 1.401912452e+24
3650.4172, 3.032086978e+25, 1.401837143e+24
3650.4781, 3.033004617e+25, 1.401761841e+24
3650.5390, 3.033922271e+25, 1.401686547e+24
3650.5999, 3.034839940e+25, 1.401611261e+24
3650.6607, 3.035757624e+25, 1.401535982e+24
3650.7216, 3.036675324e+25, 1.401460712e+24
3650.7825, 3.037593039e+25, 1.401385449e+24
3650.8434, 3.038510770e+25, 1.401310194e+24
3650.9043, 3.038908595e+25, 1.401256885e+24
3650.9652, 3.031474014e+25, 1.401538852e+24
3651.0261, 3.024039309e+25, 1.401829824e+24
3651.0870, 3.016604480e+25, 1.402129794e+24
3651.1479, 3.009169526e+25, 1.402438758e+24
3651.2088, 3.001734449e+25, 1.402756710e+24
3651.2697, 2.994299248e+25, 1.403083644e+24
3651.3305, 2.986863923e+25, 1.403419555e+24
3651.3914, 2.979428473e+25, 1.403764436e+24
3651.4523, 2.971992900e+25, 1.404118282e+24
3651.5132, 2.964557203e+25, 1.404481086e+24
3651.5741, 2.957121381e+25, 1.404852841e+24
3651.6350, 2.949685436e+25, 1.405233542e+24
3651.6960, 2.942249367e+25, 1.405623180e+24
3651.7569, 2.938305597e+25, 1.406039755e+24
3651.8178, 2.944541754e+25, 1.406512855e+24
3651.8787, 2.950778016e+25, 1.406987095e+24
3651.9396, 2.957014381e+25, 1.407462476e+24
3652.0005, 2.963250850e+25, 1.407938995e+24
3652.0614, 2.969487424e+25, 1.408416653e+24
3652.1223, 2.975724101e+25, 1.408895448e+24
3652.1832, 2.981960882e+25, 1.409375379e+24
3652.2441, 2.988197768e+25, 1.409856444e+24
