# wavelength, Lum, Lum_error
3650.0519, 2.489655711e+25, 1.186509776e+24
3650.1128, 2.496959637e+25, 1.188260805e+24
3650.1737, 2.505166503e+25, 1.190267684e+24
3650.2346, 2.513373505e+25, 1.192281845e+24
3650.2954, 2.521580645e+25, 1.194303251e+24
3650.3563, 2.529787921e+25, 1.196331865e+24
3650.4172, 2.537995335e+25, 1.198367652e+24
3650.4781, 2.546202885e+25, 1.200410576e+24
3650.5390, 2.554410572e+25, 1.202460601e+24
3650.5999, 2.562618396e+25, 1.204517691e+24
3650.6607, 2.570826357e+25, 1.206581810e+24
3650.7216, 2.579034455e+25, 1.208652924e+24
3650.7825, 2.587242690e+25, 1.210730996e+24
3650.8434, 2.595451061e+25, 1.212815992e+24
3650.9043, 2.603148115e+25, 1.214744012e+24
3650.9652, 2.603140416e+25, 1.214211307e+24
3651.0261, 2.603132716e+25, 1.213687256e+24
3651.0870, 2.603125017e+25, 1.213171873e+24
3651.1479, 2.603117317e+25, 1.212665168e+24
3651.2088, 2.603109617e+25, 1.212167152e+24
3651.2697, 2.603101917e+25, 1.211677837e+24
3651.3305, 2.603094217e+25, 1.211197234e+24
3651.3914, 2.603086516e+25, 1.210725354e+24
3651.4523, 2.603078816e+25, 1.210262207e+24
3651.5132, 2.603071116e+25, 1.209807803e+24
3651.5741, 2.603063415e+25, 1.209362154e+24
3651.6350, 2.603055714e+25, 1.208925268e+24
3651.6960, 2.603048013e+25, 1.208497157e+24
3651.7569, 2.599005636e+25, 1.207711447e+24
3651.8178, 2.583202598e+25, 1.205862063e+24
3651.8787, 2.567399297e+25, 1.204014283e+24
3651.9396, 2.551595732e+25, 1.202168115e+24
3652.0005, 2.535791904e+25, 1.200323568e+24
3652.0614, 2.519987811e+25, 1.198480647e+24
3652.1223, 2.504183456e+25, 1.196639362e+24
3652.1832, 2.488378837e+25, 1.194799721e+24
3652.2441, 2.472573954e+25, 1.192961730e+24
3652.3050, 2.456768807e+25, 1.191125398e+24
3652.3660, 2.440963397e+25, 1.189290732e+24
3652.4269, 2.425157724e+25, 1.187457741e+24
3652.4878, 2.409351786e+25, 1.185626433e+24
3652.5487, 2.393545586e+25, 1.183796816e+24
3652.6096, 2.394373064e+25, 1.183500991e+24
3652.6705, 2.415517740e+25, 1.185083551e+24
3652.7315, 2.436662768e+25, 1.186675171e+24
3652.7924, 2.457808149e+25, 1.188275813e+24
3652.8533, 2.478953883e+25, 1.189885442e+24
3652.9142, 2.500099970e+25, 1.191504023e+24
3652.9752, 2.521246409e+25, 1.193131519e+24
3653.0361, 2.542393200e+25, 1.194767894e+24
3653.0970, 2.563540345e+25, 1.196413112e+24
3653.1579, 2.584687842e+25, 1.198067138e+24
3653.2189, 2.605835692e+25, 1.199729936e+24
3653.2798, 2.626983894e+25, 1.201401470e+24
3653.3407, 2.648132450e+25, 1.203081703e+24
3653.4017, 2.669281358e+25, 1.204770601e+24
3653.4626, 2.666076183e+25, 1.204835167e+24
3653.5235, 2.649453798e+25, 1.204003080e+24
3653.5845, 2.632831136e+25, 1.203172733e+24
3653.6454, 2.616208196e+25, 1.202344129e+24
3653.7063, 2.599584979e+25, 1.201517271e+24
3653.7673, 2.582961485e+25, 1.200692165e+24
3653.8282, 2.566337714e+25, 1.199868812e+24
3653.8891, 2.549713665e+25, 1.199047218e+24
3653.9501, 2.533089339e+25, 1.198227385e+24
3654.0110, 2.516464736e+25, 1.197409318e+24
3654.0720, 2.499839856e+25, 1.196593020e+24
3654.1329, 2.483214698e+25, 1.195778495e+24
3654.1939, 2.466589263e+25, 1.194965747e+24
3654.2548, 2.449963551e+25, 1.194154779e+24
3654.3158, 2.446865955e+25, 1.194064553e+24
3654.3767, 2.446390151e+25, 1.194115315e+24
3654.4376, 2.445914339e+25, 1.194167717e+24
3654.4986, 2.445438519e+25, 1.194221761e+24
3654.5596, 2.444962691e+25, 1.194277446e+24
3654.6205, 2.444486855e+25, 1.194334771e+24
3654.6815, 2.444011012e+25, 1.194393737e+24
3654.7424, 2.443535160e+25, 1.194454344e+24
3654.8034, 2.443059300e+25, 1.194516591e+24
3654.8643, 2.442583433e+25, 1.194580478e+24
3654.9253, 2.442107557e+25, 1.194646005e+24
3654.9862, 2.441631674e+25, 1.194713171e+24
3655.0472, 2.441155782e+25, 1.194781978e+24
3655.1082, 2.441145175e+25, 1.194905749e+24
3655.1691, 2.455175671e+25, 1.196640549e+24
3655.2301, 2.469206402e+25, 1.198377381e+24
3655.2910, 2.483237366e+25, 1.200116236e+24
3655.3520, 2.497268565e+25, 1.201857106e+24
3655.4130, 2.511299997e+25, 1.203599982e+24
3655.4739, 2.525331664e+25, 1.205344855e+24
3655.5349, 2.539363564e+25, 1.207091717e+24
3655.5959, 2.553395699e+25, 1.208840560e+24
3655.6568, 2.567428067e+25, 1.210591375e+24
3655.7178, 2.581460670e+25, 1.212344154e+24
3655.7788, 2.595493507e+25, 1.214098889e+24
3655.8398, 2.609526578e+25, 1.215855572e+24
3655.9007, 2.623559882e+25, 1.217614193e+24
3655.9617, 2.634196550e+25, 1.218801711e+24
3656.0227, 2.633225537e+25, 1.218032146e+24
3656.0837, 2.632254507e+25, 1.217263142e+24
3656.1446, 2.631283460e+25, 1.216494700e+24
3656.2056, 2.630312398e+25, 1.215726822e+24
3656.2666, 2.629341319e+25, 1.214959508e+24
3656.3276, 2.628370224e+25, 1.214192760e+24
3656.3886, 2.627399113e+25, 1.213426579e+24
3656.4495, 2.626427986e+25, 1.212660966e+24
3656.5105, 2.625456843e+25, 1.211895921e+24
3656.5715, 2.624485683e+25, 1.211131447e+24
3656.6325, 2.623514507e+25, 1.210367544e+24
3656.6935, 2.622543315e+25, 1.209604214e+24
3656.7545, 2.621572107e+25, 1.208841457e+24
3656.8155, 2.614395969e+25, 1.207600756e+24
3656.8764, 2.598672018e+25, 1.205701883e+24
