# wavelength, Lum[W], Lum_error [W]
3650.0519, 2.495437775e+25, 9.963151651e+23
3650.1128, 2.496084119e+25, 9.963625827e+23
3650.1737, 2.495529290e+25, 9.964322567e+23
3650.2346, 2.494974453e+25, 9.965020293e+23
3650.2954, 2.494419605e+25, 9.965719005e+23
3650.3563, 2.493864749e+25, 9.966418702e+23
3650.4172, 2.493309883e+25, 9.967119385e+23
3650.4781, 2.492755008e+25, 9.967821054e+23
3650.5390, 2.492200124e+25, 9.968523707e+23
3650.5999, 2.491645231e+25, 9.969227346e+23
3650.6607, 2.491090328e+25, 9.969931969e+23
3650.7216, 2.490535416e+25, 9.970637577e+23
3650.7825, 2.489980495e+25, 9.971344170e+23
3650.8434, 2.489425565e+25, 9.972051747e+23
3650.9043, 2.488084862e+25, 9.971229757e+23
3650.9652, 2.474906897e+25, 9.947351432e+23
3651.0261, 2.461728713e+25, 9.923473533e+23
3651.0870, 2.448550308e+25, 9.899596067e+23
3651.1479, 2.435371684e+25, 9.875719038e+23
3651.2088, 2.422192840e+25, 9.851842454e+23
3651.2697, 2.409013777e+25, 9.827966321e+23
3651.3305, 2.395834493e+25, 9.804090644e+23
3651.3914, 2.382654990e+25, 9.780215431e+23
3651.4523, 2.369475267e+25, 9.756340686e+23
3651.5132, 2.356295324e+25, 9.732466418e+23
3651.5741, 2.343115161e+25, 9.708592633e+23
3651.6350, 2.329934778e+25, 9.684719336e+23
3651.6960, 2.316754176e+25, 9.660846534e+23
3651.7569, 2.306431629e+25, 9.641487404e+23
3651.8178, 2.304440437e+25, 9.635283658e+23
3651.8787, 2.302449212e+25, 9.629079854e+23
3651.9396, 2.300457954e+25, 9.622875994e+23
3652.0005, 2.298466663e+25, 9.616672076e+23
3652.0614, 2.296475339e+25, 9.610468102e+23
3652.1223, 2.294483981e+25, 9.604264070e+23
3652.1832, 2.292492590e+25, 9.598059982e+23
3652.2441, 2.290501166e+25, 9.591855838e+23
